	Frequency [Hz]	Amplitude [m]	Phase Angle [°]	
67	134,	3,5653e-007	10,049	
68	136,	3,3273e-007	9,6948	
69	138,	3,1128e-007	9,3801	
70	140,	2,9183e-007	9,0996	
71	142,	2,7414e-007	8,849	
72	144,	2,5797e-007	8,625	
73	146,	2,4315e-007	8,4245	
74	148,	2,2951e-007	8,2453	
75	150,	2,1692e-007	8,0852	
76	152,	2,0527e-007	7,9426	
77	154,	1,9446e-007	7,816	
78	156,	1,8439e-007	7,7042	
79	158,	1,7501e-007	7,6061	
80	160,	1,6624e-007	7,5209	
81	162,	1,5803e-007	7,4478	
82	164,	1,5032e-007	7,3862	
83	166,	1,4308e-007	7,3356	
84	168,	1,3625e-007	7,2955	
85	170,	1,2982e-007	7,2657	
86	172,	1,2374e-007	7,2458	
87	174,	1,1799e-007	7,2356	
88	176,	1,1253e-007	7,2352	
89	178,	1,0736e-007	7,2443	
90	180,	1,0245e-007	7,263	
91	182,	9,7779e-008	7,2914	
92	184,	9,333e-008	7,3296	
93	186,	8,9089e-008	7,3779	
94	188,	8,5042e-008	7,4363	
95	190,	8,1175e-008	7,5054	
96	192,	7,7478e-008	7,5855	
97	194,	7,3939e-008	7,677	
98	196,	7,0549e-008	7,7805	
99	198,	6,7298e-008	7,8967	
100	200,	6,4177e-008	8,0263	
101	202,	6,1181e-008	8,1702	
102	204,	5,83e-008	8,3293	
103	206,	5,5528e-008	8,5049	
104	208,	5,286e-008	8,6981	
105	210,	5,029e-008	8,9106	
106	212,	4,7812e-008	9,1439	
107	214,	4,5422e-008	9,4	
108	216,	4,3115e-008	9,6813	
109	218,	4,0886e-008	9,9903	
110	220,	3,8732e-008	10,33	
111	222,	3,665e-008	10,704	
112	224,	3,4635e-008	11,116	
113	226,	3,2685e-008	11,572	
114	228,	3,0797e-008	12,076	
115	230,	2,8969e-008	12,636	
116	232,	2,7197e-008	13,26	
117	234,	2,548e-008	13,958	
118	236,	2,3816e-008	14,741	
119	238,	2,2204e-008	15,624	
120	240,	2,0641e-008	16,626	
121	242,	1,9127e-008	17,768	
122	244,	1,7662e-008	19,079	
123	246,	1,6245e-008	20,595	
124	248,	1,4878e-008	22,362	
125	250,	1,3561e-008	24,441	
126	252,	1,2297e-008	26,911	
127	254,	1,1091e-008	29,876	
128	256,	9,9499e-009	33,475	
129	258,	8,8829e-009	37,887	
130	260,	7,9055e-009	43,341	
131	262,	7,0389e-009	50,103	
132	264,	6,3128e-009	58,424	
133	266,	5,7637e-009	68,414	
134	268,	5,4294e-009	79,833	
135	270,	5,3351e-009	91,949	
136	272,	5,4795e-009	103,73	
137	274,	5,8332e-009	114,28	
138	276,	6,3513e-009	123,21	
139	278,	6,9889e-009	130,5	
140	280,	7,7096e-009	136,39	
141	282,	8,4862e-009	141,15	
142	284,	9,2998e-009	145,02	
143	286,	1,0137e-008	148,19	
144	288,	1,099e-008	150,83	
145	290,	1,1851e-008	153,04	
146	292,	1,2717e-008	154,91	
147	294,	1,3584e-008	156,51	
148	296,	1,4451e-008	157,89	
149	298,	1,5315e-008	159,08	
150	300,	1,6176e-008	160,13	
151	302,	1,7034e-008	161,05	
152	304,	1,7887e-008	161,87	
153	306,	1,8735e-008	162,6	
154	308,	1,9579e-008	163,24	
155	310,	2,0419e-008	163,83	
156	312,	2,1254e-008	164,35	
157	314,	2,2084e-008	164,82	
158	316,	2,291e-008	165,24	
159	318,	2,3733e-008	165,63	
160	320,	2,4551e-008	165,98	
161	322,	2,5367e-008	166,3	
162	324,	2,6179e-008	166,59	
163	326,	2,6988e-008	166,85	
164	328,	2,7795e-008	167,1	
165	330,	2,8601e-008	167,31	
166	332,	2,9404e-008	167,51	
167	334,	3,0206e-008	167,7	
168	336,	3,1007e-008	167,86	
169	338,	3,1807e-008	168,01	
170	340,	3,2608e-008	168,15	
171	342,	3,3408e-008	168,27	
172	344,	3,421e-008	168,38	
173	346,	3,5012e-008	168,47	
174	348,	3,5815e-008	168,56	
175	350,	3,6621e-008	168,64	
176	352,	3,7429e-008	168,7	
177	354,	3,8239e-008	168,75	
178	356,	3,9053e-008	168,8	
179	358,	3,987e-008	168,83	
180	360,	4,0692e-008	168,86	
181	362,	4,1517e-008	168,88	
182	364,	4,2348e-008	168,88	
183	366,	4,3183e-008	168,88	
184	368,	4,4024e-008	168,86	
185	370,	4,4871e-008	168,84	
186	372,	4,5724e-008	168,81	
187	374,	4,6582e-008	168,76	
188	376,	4,7446e-008	168,7	
189	378,	4,8314e-008	168,63	
190	380,	4,9188e-008	168,55	
191	382,	5,0064e-008	168,45	
192	384,	5,0942e-008	168,34	
193	386,	5,1819e-008	168,22	
194	388,	5,2692e-008	168,09	
195	390,	5,3557e-008	167,94	
196	392,	5,4412e-008	167,79	
197	394,	5,5254e-008	167,63	
198	396,	5,6079e-008	167,48	
199	398,	5,689e-008	167,34	
200	400,	5,7688e-008	167,23	
201	402,	5,8483e-008	167,14	
202	404,	5,9282e-008	167,07	
203	406,	6,0098e-008	167,04	
204	408,	6,094e-008	167,03	
205	410,	6,1815e-008	167,04	
206	412,	6,273e-008	167,06	
207	414,	6,3686e-008	167,08	
208	416,	6,4683e-008	167,09	
209	418,	6,5719e-008	167,1	
210	420,	6,6793e-008	167,1	
211	422,	6,7902e-008	167,08	
212	424,	6,9045e-008	167,05	
213	426,	7,022e-008	167,01	
214	428,	7,1426e-008	166,95	
215	430,	7,2663e-008	166,88	
216	432,	7,3931e-008	166,8	
217	434,	7,523e-008	166,71	
218	436,	7,656e-008	166,6	
219	438,	7,7922e-008	166,49	
220	440,	7,9318e-008	166,36	
221	442,	8,0749e-008	166,22	
222	444,	8,2216e-008	166,08	
223	446,	8,372e-008	165,92	
224	448,	8,5264e-008	165,75	
225	450,	8,6849e-008	165,57	
226	452,	8,8478e-008	165,38	
227	454,	9,0152e-008	165,18	
228	456,	9,1874e-008	164,97	
229	458,	9,3647e-008	164,75	
230	460,	9,5472e-008	164,52	
231	462,	9,7354e-008	164,28	
232	464,	9,9294e-008	164,03	
233	466,	1,013e-007	163,76	
234	468,	1,0336e-007	163,48	
235	470,	1,055e-007	163,18	
236	472,	1,0771e-007	162,88	
237	474,	1,1e-007	162,56	
238	476,	1,1237e-007	162,22	
239	478,	1,1482e-007	161,86	
240	480,	1,1737e-007	161,49	
241	482,	1,2002e-007	161,1	
242	484,	1,2276e-007	160,69	
243	486,	1,2562e-007	160,27	
244	488,	1,2859e-007	159,81	
245	490,	1,3168e-007	159,34	
246	492,	1,3491e-007	158,84	
247	494,	1,3827e-007	158,32	
248	496,	1,4178e-007	157,77	
249	498,	1,4544e-007	157,18	
250	500,	1,4927e-007	156,57	
251	502,	1,5328e-007	155,92	
252	504,	1,5748e-007	155,23	
253	506,	1,6187e-007	154,5	
254	508,	1,6648e-007	153,73	
255	510,	1,7132e-007	152,92	
256	512,	1,7639e-007	152,05	
257	514,	1,8172e-007	151,13	
258	516,	1,8732e-007	150,15	
259	518,	1,932e-007	149,11	
260	520,	1,9938e-007	147,99	
261	522,	2,0588e-007	146,8	
262	524,	2,1271e-007	145,53	
263	526,	2,1987e-007	144,17	
264	528,	2,2739e-007	142,71	
265	530,	2,3526e-007	141,15	
266	532,	2,4349e-007	139,48	
267	534,	2,5208e-007	137,68	
268	536,	2,6099e-007	135,75	
269	538,	2,7022e-007	133,67	
270	540,	2,797e-007	131,44	
271	542,	2,8939e-007	129,05	
272	544,	2,9918e-007	126,49	
273	546,	3,0898e-007	123,75	
274	548,	3,1862e-007	120,82	
275	550,	3,2794e-007	117,71	
276	552,	3,3673e-007	114,41	
277	554,	3,4475e-007	110,94	
278	556,	3,5177e-007	107,3	
279	558,	3,5753e-007	103,52	
280	560,	3,6182e-007	99,622	
281	562,	3,6444e-007	95,642	
282	564,	3,6528e-007	91,614	
283	566,	3,6429e-007	87,579	
284	568,	3,6149e-007	83,577	
285	570,	3,57e-007	79,647	
286	572,	3,51e-007	75,822	
287	574,	3,437e-007	72,131	
288	576,	3,3534e-007	68,597	
289	578,	3,2619e-007	65,235	
290	580,	3,1648e-007	62,055	
291	582,	3,0643e-007	59,061	
292	584,	2,9621e-007	56,253	
293	586,	2,8599e-007	53,625	
294	588,	2,7589e-007	51,172	
295	590,	2,6599e-007	48,885	
296	592,	2,5638e-007	46,755	
297	594,	2,4709e-007	44,772	
298	596,	2,3816e-007	42,925	
299	598,	2,296e-007	41,204	
300	600,	2,2143e-007	39,601	
301	602,	2,1363e-007	38,105	
302	604,	2,0621e-007	36,709	
303	606,	1,9914e-007	35,404	
304	608,	1,9243e-007	34,184	
305	610,	1,8605e-007	33,041	
306	612,	1,7999e-007	31,969	
307	614,	1,7423e-007	30,963	
308	616,	1,6876e-007	30,017	
309	618,	1,6356e-007	29,128	
310	620,	1,5861e-007	28,289	
311	622,	1,539e-007	27,498	
312	624,	1,4941e-007	26,752	
313	626,	1,4514e-007	26,046	
314	628,	1,4106e-007	25,378	
315	630,	1,3718e-007	24,745	
316	632,	1,3347e-007	24,145	
317	634,	1,2992e-007	23,575	
318	636,	1,2653e-007	23,033	
319	638,	1,2328e-007	22,518	
320	640,	1,2018e-007	22,028	
321	642,	1,172e-007	21,561	
322	644,	1,1435e-007	21,116	
323	646,	1,1161e-007	20,691	
324	648,	1,0898e-007	20,285	
325	650,	1,0645e-007	19,897	
326	652,	1,0402e-007	19,526	
327	654,	1,0168e-007	19,171	
328	656,	9,9431e-008	18,83	
329	658,	9,7263e-008	18,504	
330	660,	9,5173e-008	18,192	
331	662,	9,3158e-008	17,892	
332	664,	9,1212e-008	17,604	
333	666,	8,9334e-008	17,327	
334	668,	8,7519e-008	17,062	
335	670,	8,5765e-008	16,806	
336	672,	8,4068e-008	16,56	
337	674,	8,2427e-008	16,324	
338	676,	8,0837e-008	16,096	
339	678,	7,9298e-008	15,877	
340	680,	7,7806e-008	15,665	
341	682,	7,6359e-008	15,462	
342	684,	7,4956e-008	15,265	
343	686,	7,3594e-008	15,076	
344	688,	7,2272e-008	14,893	
345	690,	7,0988e-008	14,717	
346	692,	6,974e-008	14,546	
347	694,	6,8527e-008	14,382	
348	696,	6,7348e-008	14,223	
349	698,	6,6201e-008	14,07	
350	700,	6,5084e-008	13,922	
351	702,	6,3997e-008	13,779	
352	704,	6,2938e-008	13,641	
353	706,	6,1907e-008	13,507	
354	708,	6,0902e-008	13,378	
355	710,	5,9922e-008	13,253	
356	712,	5,8966e-008	13,132	
357	714,	5,8034e-008	13,016	
358	716,	5,7124e-008	12,903	
359	718,	5,6236e-008	12,794	
360	720,	5,5369e-008	12,688	
361	722,	5,4522e-008	12,586	
362	724,	5,3694e-008	12,488	
363	726,	5,2885e-008	12,392	
364	728,	5,2095e-008	12,3	
365	730,	5,1322e-008	12,212	
366	732,	5,0565e-008	12,126	
367	734,	4,9826e-008	12,043	
368	736,	4,9102e-008	11,963	
369	738,	4,8393e-008	11,885	
370	740,	4,7699e-008	11,811	
371	742,	4,7019e-008	11,739	
372	744,	4,6354e-008	11,669	
373	746,	4,5702e-008	11,602	
374	748,	4,5062e-008	11,538	
375	750,	4,4436e-008	11,476	
376	752,	4,3822e-008	11,416	
377	754,	4,3219e-008	11,358	
378	756,	4,2628e-008	11,303	
379	758,	4,2048e-008	11,25	
380	760,	4,1479e-008	11,199	
381	762,	4,0921e-008	11,15	
382	764,	4,0373e-008	11,104	
383	766,	3,9835e-008	11,059	
384	768,	3,9306e-008	11,016	
385	770,	3,8787e-008	10,976	
386	772,	3,8277e-008	10,937	
387	774,	3,7776e-008	10,9	
388	776,	3,7283e-008	10,865	
389	778,	3,6799e-008	10,832	
390	780,	3,6323e-008	10,801	
391	782,	3,5855e-008	10,771	
392	784,	3,5395e-008	10,743	
393	786,	3,4942e-008	10,717	
394	788,	3,4496e-008	10,693	
395	790,	3,4058e-008	10,671	
396	792,	3,3626e-008	10,65	
397	794,	3,3202e-008	10,631	
398	796,	3,2784e-008	10,614	
399	798,	3,2372e-008	10,598	
400	800,	3,1967e-008	10,584	
401	802,	3,1568e-008	10,571	
402	804,	3,1175e-008	10,561	
403	806,	3,0787e-008	10,552	
404	808,	3,0406e-008	10,544	
405	810,	3,0029e-008	10,538	
406	812,	2,9659e-008	10,534	
407	814,	2,9293e-008	10,532	
408	816,	2,8933e-008	10,531	
409	818,	2,8578e-008	10,532	
410	820,	2,8228e-008	10,534	
411	822,	2,7882e-008	10,538	
412	824,	2,7541e-008	10,543	
413	826,	2,7205e-008	10,551	
414	828,	2,6873e-008	10,56	
415	830,	2,6546e-008	10,57	
416	832,	2,6223e-008	10,582	
417	834,	2,5904e-008	10,596	
418	836,	2,5589e-008	10,612	
419	838,	2,5279e-008	10,629	
420	840,	2,4972e-008	10,648	
421	842,	2,4669e-008	10,669	
422	844,	2,437e-008	10,691	
423	846,	2,4074e-008	10,715	
424	848,	2,3782e-008	10,741	
425	850,	2,3494e-008	10,769	
426	852,	2,3209e-008	10,798	
427	854,	2,2927e-008	10,83	
428	856,	2,2649e-008	10,863	
429	858,	2,2374e-008	10,898	
430	860,	2,2102e-008	10,935	
431	862,	2,1833e-008	10,974	
432	864,	2,1567e-008	11,015	
433	866,	2,1304e-008	11,058	
434	868,	2,1044e-008	11,103	
435	870,	2,0787e-008	11,15	
436	872,	2,0533e-008	11,199	
437	874,	2,0281e-008	11,25	
438	876,	2,0032e-008	11,303	
439	878,	1,9786e-008	11,359	
440	880,	1,9543e-008	11,417	
441	882,	1,9302e-008	11,477	
442	884,	1,9063e-008	11,539	
443	886,	1,8827e-008	11,604	
444	888,	1,8593e-008	11,671	
445	890,	1,8361e-008	11,741	
446	892,	1,8132e-008	11,813	
447	894,	1,7905e-008	11,888	
448	896,	1,7681e-008	11,966	
449	898,	1,7458e-008	12,046	
450	900,	1,7238e-008	12,129	
451	902,	1,7019e-008	12,215	
452	904,	1,6803e-008	12,304	
453	906,	1,6589e-008	12,396	
454	908,	1,6376e-008	12,491	
455	910,	1,6166e-008	12,589	
456	912,	1,5958e-008	12,69	
457	914,	1,5751e-008	12,795	
458	916,	1,5546e-008	12,903	
459	918,	1,5343e-008	13,015	
460	920,	1,5142e-008	13,13	
461	922,	1,4943e-008	13,249	
462	924,	1,4745e-008	13,372	
463	926,	1,4549e-008	13,499	
464	928,	1,4355e-008	13,63	
465	930,	1,4162e-008	13,765	
466	932,	1,3971e-008	13,904	
467	934,	1,3781e-008	14,048	
468	936,	1,3593e-008	14,197	
469	938,	1,3407e-008	14,35	
470	940,	1,3222e-008	14,509	
471	942,	1,3038e-008	14,672	
472	944,	1,2856e-008	14,841	
473	946,	1,2676e-008	15,015	
474	948,	1,2496e-008	15,195	
475	950,	1,2319e-008	15,38	
476	952,	1,2142e-008	15,572	
477	954,	1,1967e-008	15,77	
478	956,	1,1793e-008	15,975	
479	958,	1,1621e-008	16,186	
480	960,	1,145e-008	16,404	
481	962,	1,128e-008	16,629	
482	964,	1,1112e-008	16,862	
483	966,	1,0945e-008	17,103	
484	968,	1,0779e-008	17,352	
485	970,	1,0614e-008	17,61	
486	972,	1,045e-008	17,876	
487	974,	1,0288e-008	18,151	
488	976,	1,0127e-008	18,436	
489	978,	9,9672e-009	18,731	
490	980,	9,8085e-009	19,036	
491	982,	9,6511e-009	19,352	
492	984,	9,4948e-009	19,679	
493	986,	9,3398e-009	20,018	
494	988,	9,1859e-009	20,369	
495	990,	9,0333e-009	20,733	
496	992,	8,8818e-009	21,111	
497	994,	8,7315e-009	21,502	
498	996,	8,5825e-009	21,908	
499	998,	8,4346e-009	22,329	
500	1000,	8,288e-009	22,766	
