	Frequency [Hz]	Amplitude [m]	Phase Angle [°]	
1	2,	4,0553e-007	179,89	
2	4,	4,0598e-007	179,79	
3	6,	4,0675e-007	179,68	
4	8,	4,0783e-007	179,57	
5	10,	4,0922e-007	179,46	
6	12,	4,1094e-007	179,35	
7	14,	4,1299e-007	179,23	
8	16,	4,1538e-007	179,12	
9	18,	4,1813e-007	179,	
10	20,	4,2126e-007	178,88	
11	22,	4,2477e-007	178,76	
12	24,	4,2869e-007	178,63	
13	26,	4,3305e-007	178,5	
14	28,	4,3786e-007	178,36	
15	30,	4,4316e-007	178,22	
16	32,	4,4899e-007	178,07	
17	34,	4,5538e-007	177,91	
18	36,	4,6237e-007	177,75	
19	38,	4,7003e-007	177,58	
20	40,	4,7841e-007	177,4	
21	42,	4,8757e-007	177,2	
22	44,	4,976e-007	177,	
23	46,	5,0859e-007	176,78	
24	48,	5,2064e-007	176,55	
25	50,	5,3387e-007	176,3	
26	52,	5,4844e-007	176,03	
27	54,	5,6452e-007	175,74	
28	56,	5,823e-007	175,42	
29	58,	6,0204e-007	175,07	
30	60,	6,2403e-007	174,69	
31	62,	6,4863e-007	174,27	
32	64,	6,7629e-007	173,8	
33	66,	7,0755e-007	173,27	
34	68,	7,4311e-007	172,67	
35	70,	7,8384e-007	171,99	
36	72,	8,3089e-007	171,2	
37	74,	8,8574e-007	170,29	
38	76,	9,5036e-007	169,22	
39	78,	1,0275e-006	167,93	
40	80,	1,1208e-006	166,37	
41	82,	1,2356e-006	164,44	
42	84,	1,3796e-006	161,99	
43	86,	1,5641e-006	158,79	
44	88,	1,8055e-006	154,47	
45	90,	2,1273e-006	148,41	
46	92,	2,5543e-006	139,55	
47	94,	3,0779e-006	126,26	
48	96,	3,5381e-006	107,11	
49	98,	3,5706e-006	83,999	
50	100,	3,1077e-006	63,18	
51	102,	2,5182e-006	48,204	
52	104,	2,0262e-006	38,203	
53	106,	1,6575e-006	31,437	
54	108,	1,384e-006	26,681	
55	110,	1,1777e-006	23,201	
56	112,	1,0184e-006	20,565	
57	114,	8,9245e-007	18,508	
58	116,	7,9081e-007	16,865	
59	118,	7,0729e-007	15,526	
60	120,	6,3759e-007	14,416	
61	122,	5,7861e-007	13,482	
62	124,	5,2812e-007	12,689	
63	126,	4,8445e-007	12,007	
64	128,	4,4632e-007	11,416	
65	130,	4,1278e-007	10,901	
66	132,	3,8305e-007	10,448	
