	Frequency [Hz]	Amplitude [m]	Phase Angle [°]	
87	174,	1,1809e-007	1,4507	
88	176,	1,126e-007	1,4506	
89	178,	1,0739e-007	1,4524	
90	180,	1,0245e-007	1,4563	
91	182,	9,775e-008	1,462	
92	184,	9,3274e-008	1,4698	
93	186,	8,9007e-008	1,4796	
94	188,	8,4936e-008	1,4915	
95	190,	8,1046e-008	1,5055	
96	192,	7,7327e-008	1,5218	
97	194,	7,3767e-008	1,5404	
98	196,	7,0356e-008	1,5615	
99	198,	6,7085e-008	1,5851	
100	200,	6,3946e-008	1,6115	
101	202,	6,0929e-008	1,6409	
102	204,	5,8029e-008	1,6733	
103	206,	5,5239e-008	1,7092	
104	208,	5,2552e-008	1,7487	
105	210,	4,9962e-008	1,7922	
106	212,	4,7464e-008	1,84	
107	214,	4,5053e-008	1,8926	
108	216,	4,2724e-008	1,9504	
109	218,	4,0473e-008	2,014	
110	220,	3,8297e-008	2,0841	
111	222,	3,619e-008	2,1615	
112	224,	3,4149e-008	2,247	
113	226,	3,2172e-008	2,3418	
114	228,	3,0255e-008	2,4472	
115	230,	2,8394e-008	2,5646	
116	232,	2,6588e-008	2,6961	
117	234,	2,4834e-008	2,844	
118	236,	2,3129e-008	3,0111	
119	238,	2,147e-008	3,201	
120	240,	1,9856e-008	3,4184	
121	242,	1,8285e-008	3,6691	
122	244,	1,6755e-008	3,961	
123	246,	1,5264e-008	4,3044	
124	248,	1,381e-008	4,7136	
125	250,	1,2392e-008	5,2084	
126	252,	1,1008e-008	5,818	
127	254,	9,6581e-009	6,5859	
128	256,	8,3406e-009	7,5809	
129	258,	7,0555e-009	8,9182	
130	260,	5,8035e-009	10,805	
131	262,	4,5871e-009	13,655	
132	264,	3,4145e-009	18,412	
133	266,	2,3113e-009	27,711	
134	268,	1,3842e-009	50,743	
135	270,	1,1035e-009	104,29	
136	272,	1,7602e-009	142,66	
137	274,	2,7239e-009	156,95	
138	276,	3,749e-009	163,48	
139	278,	4,7839e-009	167,12	
140	280,	5,8142e-009	169,43	
141	282,	6,8347e-009	171,01	
142	284,	7,8433e-009	172,16	
143	286,	8,8395e-009	173,03	
144	288,	9,823e-009	173,72	
145	290,	1,0794e-008	174,26	
146	292,	1,1753e-008	174,71	
147	294,	1,27e-008	175,09	
148	296,	1,3637e-008	175,41	
149	298,	1,4562e-008	175,68	
150	300,	1,5478e-008	175,91	
151	302,	1,6384e-008	176,11	
152	304,	1,728e-008	176,29	
153	306,	1,8169e-008	176,45	
154	308,	1,9049e-008	176,59	
155	310,	1,9921e-008	176,71	
156	312,	2,0787e-008	176,82	
157	314,	2,1646e-008	176,92	
158	316,	2,2499e-008	177,01	
159	318,	2,3347e-008	177,09	
160	320,	2,419e-008	177,16	
161	322,	2,5028e-008	177,23	
162	324,	2,5862e-008	177,29	
163	326,	2,6692e-008	177,35	
164	328,	2,752e-008	177,4	
165	330,	2,8344e-008	177,44	
166	332,	2,9167e-008	177,48	
167	334,	2,9988e-008	177,52	
168	336,	3,0808e-008	177,55	
169	338,	3,1627e-008	177,58	
170	340,	3,2446e-008	177,61	
171	342,	3,3265e-008	177,64	
172	344,	3,4085e-008	177,66	
173	346,	3,4907e-008	177,68	
174	348,	3,573e-008	177,7	
175	350,	3,6556e-008	177,71	
176	352,	3,7386e-008	177,72	
177	354,	3,8219e-008	177,73	
178	356,	3,9057e-008	177,74	
179	358,	3,99e-008	177,75	
180	360,	4,0749e-008	177,75	
181	362,	4,1604e-008	177,75	
182	364,	4,2468e-008	177,75	
183	366,	4,3341e-008	177,75	
184	368,	4,4224e-008	177,74	
185	370,	4,5119e-008	177,73	
186	372,	4,6028e-008	177,71	
187	374,	4,6951e-008	177,69	
188	376,	4,7893e-008	177,67	
189	378,	4,8855e-008	177,64	
190	380,	4,9842e-008	177,6	
191	382,	5,0858e-008	177,55	
192	384,	5,1909e-008	177,48	
193	386,	5,3005e-008	177,38	
194	388,	5,4157e-008	177,25	
195	390,	5,538e-008	177,07	
196	392,	5,6694e-008	176,79	
197	394,	5,8122e-008	176,36	
198	396,	5,9665e-008	175,63	
199	398,	6,1201e-008	174,34	
200	400,	6,211e-008	172,17	
201	402,	6,0897e-008	169,68	
202	404,	5,7868e-008	169,58	
203	406,	5,6625e-008	172,03	
204	408,	5,7431e-008	174,21	
205	410,	5,8891e-008	175,48	
206	412,	6,0437e-008	176,19	
207	414,	6,1941e-008	176,61	
208	416,	6,3391e-008	176,86	
209	418,	6,4799e-008	177,02	
210	420,	6,618e-008	177,13	
211	422,	6,7546e-008	177,2	
212	424,	6,8907e-008	177,24	
213	426,	7,027e-008	177,27	
214	428,	7,1642e-008	177,28	
215	430,	7,3028e-008	177,28	
216	432,	7,4432e-008	177,28	
217	434,	7,5859e-008	177,27	
218	436,	7,731e-008	177,26	
219	438,	7,879e-008	177,24	
220	440,	8,0301e-008	177,22	
221	442,	8,1847e-008	177,19	
222	444,	8,343e-008	177,17	
223	446,	8,5052e-008	177,14	
224	448,	8,6717e-008	177,1	
225	450,	8,8429e-008	177,07	
226	452,	9,0189e-008	177,03	
227	454,	9,2001e-008	176,99	
228	456,	9,3868e-008	176,94	
229	458,	9,5795e-008	176,9	
230	460,	9,7785e-008	176,85	
231	462,	9,9842e-008	176,8	
232	464,	1,0197e-007	176,74	
233	466,	1,0417e-007	176,69	
234	468,	1,0646e-007	176,63	
235	470,	1,0883e-007	176,56	
236	472,	1,1129e-007	176,5	
237	474,	1,1386e-007	176,43	
238	476,	1,1652e-007	176,36	
239	478,	1,193e-007	176,28	
240	480,	1,222e-007	176,2	
241	482,	1,2524e-007	176,11	
242	484,	1,2841e-007	176,02	
243	486,	1,3173e-007	175,93	
244	488,	1,3521e-007	175,83	
245	490,	1,3887e-007	175,72	
246	492,	1,4272e-007	175,61	
247	494,	1,4678e-007	175,49	
248	496,	1,5105e-007	175,36	
249	498,	1,5558e-007	175,23	
250	500,	1,6036e-007	175,09	
251	502,	1,6544e-007	174,94	
252	504,	1,7084e-007	174,77	
253	506,	1,7659e-007	174,6	
254	508,	1,8273e-007	174,41	
255	510,	1,893e-007	174,21	
256	512,	1,9635e-007	174,	
257	514,	2,0393e-007	173,77	
258	516,	2,1211e-007	173,51	
259	518,	2,2095e-007	173,24	
260	520,	2,3056e-007	172,95	
261	522,	2,4102e-007	172,62	
262	524,	2,5247e-007	172,26	
263	526,	2,6505e-007	171,87	
264	528,	2,7892e-007	171,44	
265	530,	2,9431e-007	170,95	
266	532,	3,1148e-007	170,41	
267	534,	3,3075e-007	169,81	
268	536,	3,5252e-007	169,12	
269	538,	3,773e-007	168,33	
270	540,	4,0577e-007	167,42	
271	542,	4,3877e-007	166,36	
272	544,	4,7744e-007	165,11	
273	546,	5,2332e-007	163,61	
274	548,	5,7849e-007	161,8	
275	550,	6,4587e-007	159,55	
276	552,	7,2955e-007	156,72	
277	554,	8,3527e-007	153,04	
278	556,	9,7083e-007	148,14	
279	558,	1,1454e-006	141,39	
280	560,	1,3642e-006	131,87	
281	562,	1,608e-006	118,4	
282	564,	1,7933e-006	100,54	
283	566,	1,795e-006	80,475	
284	568,	1,6105e-006	62,486	
285	570,	1,3646e-006	48,875	
286	572,	1,1431e-006	39,238	
287	574,	9,6627e-007	32,414	
288	576,	8,2907e-007	27,46	
289	578,	7,2218e-007	23,75	
290	580,	6,3767e-007	20,89	
291	582,	5,6968e-007	18,63	
292	584,	5,1405e-007	16,803	
293	586,	4,6784e-007	15,3	
294	588,	4,2891e-007	14,042	
295	590,	3,9571e-007	12,976	
296	592,	3,671e-007	12,061	
297	594,	3,4219e-007	11,268	
298	596,	3,2033e-007	10,575	
299	598,	3,0099e-007	9,9631	
300	600,	2,8377e-007	9,42	
301	602,	2,6834e-007	8,9345	
302	604,	2,5444e-007	8,4982	
303	606,	2,4185e-007	8,1039	
304	608,	2,3039e-007	7,7461	
305	610,	2,1992e-007	7,4198	
306	612,	2,1033e-007	7,1212	
307	614,	2,0149e-007	6,847	
308	616,	1,9333e-007	6,5943	
309	618,	1,8577e-007	6,3607	
310	620,	1,7875e-007	6,1442	
311	622,	1,7221e-007	5,943	
312	624,	1,6611e-007	5,7555	
313	626,	1,604e-007	5,5805	
314	628,	1,5504e-007	5,4168	
315	630,	1,5e-007	5,2633	
316	632,	1,4526e-007	5,1191	
317	634,	1,4079e-007	4,9835	
318	636,	1,3657e-007	4,8556	
319	638,	1,3257e-007	4,735	
320	640,	1,2879e-007	4,621	
321	642,	1,2519e-007	4,513	
322	644,	1,2177e-007	4,4107	
323	646,	1,1852e-007	4,3137	
324	648,	1,1542e-007	4,2215	
325	650,	1,1247e-007	4,1338	
326	652,	1,0965e-007	4,0503	
327	654,	1,0695e-007	3,9708	
328	656,	1,0437e-007	3,8949	
329	658,	1,0189e-007	3,8225	
330	660,	9,9521e-008	3,7533	
331	662,	9,7245e-008	3,6872	
332	664,	9,5059e-008	3,6239	
333	666,	9,2957e-008	3,5633	
334	668,	9,0935e-008	3,5052	
335	670,	8,8988e-008	3,4495	
336	672,	8,7113e-008	3,3961	
337	674,	8,5304e-008	3,3448	
338	676,	8,3558e-008	3,2955	
339	678,	8,1873e-008	3,2482	
340	680,	8,0245e-008	3,2027	
341	682,	7,8671e-008	3,1589	
342	684,	7,7149e-008	3,1168	
343	686,	7,5675e-008	3,0762	
344	688,	7,4248e-008	3,0372	
345	690,	7,2865e-008	2,9996	
346	692,	7,1525e-008	2,9633	
347	694,	7,0224e-008	2,9283	
348	696,	6,8962e-008	2,8946	
349	698,	6,7737e-008	2,8621	
350	700,	6,6547e-008	2,8307	
351	702,	6,5391e-008	2,8005	
352	704,	6,4267e-008	2,7713	
353	706,	6,3173e-008	2,743	
354	708,	6,2109e-008	2,7158	
355	710,	6,1073e-008	2,6895	
356	712,	6,0065e-008	2,6641	
357	714,	5,9082e-008	2,6396	
358	716,	5,8125e-008	2,6159	
359	718,	5,7191e-008	2,593	
360	720,	5,6281e-008	2,571	
361	722,	5,5393e-008	2,5496	
362	724,	5,4526e-008	2,529	
363	726,	5,368e-008	2,5091	
364	728,	5,2853e-008	2,4899	
365	730,	5,2046e-008	2,4713	
366	732,	5,1258e-008	2,4534	
367	734,	5,0487e-008	2,4361	
368	736,	4,9733e-008	2,4194	
369	738,	4,8996e-008	2,4033	
370	740,	4,8275e-008	2,3878	
371	742,	4,7569e-008	2,3728	
372	744,	4,6878e-008	2,3584	
373	746,	4,6202e-008	2,3445	
374	748,	4,554e-008	2,3311	
375	750,	4,4891e-008	2,3183	
376	752,	4,4256e-008	2,3059	
377	754,	4,3633e-008	2,294	
378	756,	4,3022e-008	2,2825	
379	758,	4,2424e-008	2,2715	
380	760,	4,1837e-008	2,261	
381	762,	4,1261e-008	2,2509	
382	764,	4,0695e-008	2,2413	
383	766,	4,0141e-008	2,2321	
384	768,	3,9597e-008	2,2233	
385	770,	3,9062e-008	2,215	
386	772,	3,8537e-008	2,207	
387	774,	3,8022e-008	2,1994	
388	776,	3,7516e-008	2,1922	
389	778,	3,7018e-008	2,1854	
390	780,	3,6529e-008	2,179	
391	782,	3,6048e-008	2,173	
392	784,	3,5576e-008	2,1673	
393	786,	3,5111e-008	2,162	
394	788,	3,4654e-008	2,1571	
395	790,	3,4205e-008	2,1525	
396	792,	3,3763e-008	2,1483	
397	794,	3,3328e-008	2,1444	
398	796,	3,2899e-008	2,1409	
399	798,	3,2478e-008	2,1377	
400	800,	3,2063e-008	2,1349	
401	802,	3,1654e-008	2,1324	
402	804,	3,1252e-008	2,1303	
403	806,	3,0855e-008	2,1285	
404	808,	3,0465e-008	2,1271	
405	810,	3,008e-008	2,126	
406	812,	2,9701e-008	2,1252	
407	814,	2,9327e-008	2,1248	
408	816,	2,8959e-008	2,1247	
409	818,	2,8596e-008	2,125	
410	820,	2,8238e-008	2,1256	
411	822,	2,7885e-008	2,1265	
412	824,	2,7537e-008	2,1278	
413	826,	2,7193e-008	2,1294	
414	828,	2,6854e-008	2,1314	
415	830,	2,652e-008	2,1337	
416	832,	2,619e-008	2,1363	
417	834,	2,5864e-008	2,1394	
418	836,	2,5543e-008	2,1427	
419	838,	2,5225e-008	2,1465	
420	840,	2,4912e-008	2,1505	
421	842,	2,4602e-008	2,155	
422	844,	2,4297e-008	2,1598	
423	846,	2,3995e-008	2,165	
424	848,	2,3696e-008	2,1705	
425	850,	2,3402e-008	2,1764	
426	852,	2,3111e-008	2,1828	
427	854,	2,2823e-008	2,1895	
428	856,	2,2538e-008	2,1965	
429	858,	2,2257e-008	2,204	
430	860,	2,1979e-008	2,2119	
431	862,	2,1704e-008	2,2203	
432	864,	2,1433e-008	2,229	
433	866,	2,1164e-008	2,2381	
434	868,	2,0898e-008	2,2477	
435	870,	2,0635e-008	2,2577	
436	872,	2,0375e-008	2,2682	
437	874,	2,0118e-008	2,2791	
438	876,	1,9863e-008	2,2905	
439	878,	1,9611e-008	2,3024	
440	880,	1,9361e-008	2,3148	
441	882,	1,9114e-008	2,3276	
442	884,	1,887e-008	2,341	
443	886,	1,8628e-008	2,3549	
444	888,	1,8388e-008	2,3693	
445	890,	1,815e-008	2,3842	
446	892,	1,7915e-008	2,3998	
447	894,	1,7682e-008	2,4158	
448	896,	1,7452e-008	2,4325	
449	898,	1,7223e-008	2,4498	
450	900,	1,6996e-008	2,4677	
451	902,	1,6772e-008	2,4862	
452	904,	1,6549e-008	2,5053	
453	906,	1,6329e-008	2,5252	
454	908,	1,611e-008	2,5457	
455	910,	1,5893e-008	2,5669	
456	912,	1,5678e-008	2,5889	
457	914,	1,5465e-008	2,6116	
458	916,	1,5254e-008	2,6351	
459	918,	1,5044e-008	2,6594	
460	920,	1,4836e-008	2,6845	
461	922,	1,463e-008	2,7104	
462	924,	1,4425e-008	2,7373	
463	926,	1,4222e-008	2,765	
464	928,	1,402e-008	2,7937	
465	930,	1,382e-008	2,8233	
466	932,	1,3622e-008	2,854	
467	934,	1,3425e-008	2,8857	
468	936,	1,3229e-008	2,9185	
469	938,	1,3035e-008	2,9524	
470	940,	1,2842e-008	2,9875	
471	942,	1,265e-008	3,0237	
472	944,	1,246e-008	3,0613	
473	946,	1,227e-008	3,1001	
474	948,	1,2083e-008	3,1403	
475	950,	1,1896e-008	3,1819	
476	952,	1,171e-008	3,2249	
477	954,	1,1526e-008	3,2695	
478	956,	1,1343e-008	3,3157	
479	958,	1,1161e-008	3,3635	
480	960,	1,098e-008	3,4131	
481	962,	1,08e-008	3,4645	
482	964,	1,0621e-008	3,5178	
483	966,	1,0443e-008	3,5731	
484	968,	1,0266e-008	3,6305	
485	970,	1,009e-008	3,69	
486	972,	9,9151e-009	3,7518	
487	974,	9,741e-009	3,816	
488	976,	9,5677e-009	3,8828	
489	978,	9,3953e-009	3,9522	
490	980,	9,2237e-009	4,0243	
491	982,	9,053e-009	4,0994	
492	984,	8,883e-009	4,1776	
493	986,	8,7138e-009	4,2591	
494	988,	8,5454e-009	4,344	
495	990,	8,3777e-009	4,4325	
496	992,	8,2107e-009	4,5249	
497	994,	8,0444e-009	4,6214	
498	996,	7,8788e-009	4,7222	
499	998,	7,7138e-009	4,8276	
500	1000,	7,5495e-009	4,9378	
