	Frequency [Hz]	Amplitude [m]	Phase Angle [°]	
1	2,	4,0553e-007	179,98	
2	4,	4,0599e-007	179,96	
3	6,	4,0676e-007	179,94	
4	8,	4,0784e-007	179,91	
5	10,	4,0924e-007	179,89	
6	12,	4,1097e-007	179,87	
7	14,	4,1303e-007	179,85	
8	16,	4,1544e-007	179,82	
9	18,	4,1821e-007	179,8	
10	20,	4,2135e-007	179,78	
11	22,	4,2488e-007	179,75	
12	24,	4,2883e-007	179,73	
13	26,	4,3321e-007	179,7	
14	28,	4,3806e-007	179,67	
15	30,	4,434e-007	179,64	
16	32,	4,4927e-007	179,61	
17	34,	4,5571e-007	179,58	
18	36,	4,6277e-007	179,55	
19	38,	4,7049e-007	179,52	
20	40,	4,7895e-007	179,48	
21	42,	4,8821e-007	179,44	
22	44,	4,9835e-007	179,4	
23	46,	5,0946e-007	179,36	
24	48,	5,2167e-007	179,31	
25	50,	5,3509e-007	179,26	
26	52,	5,4988e-007	179,21	
27	54,	5,6621e-007	179,15	
28	56,	5,8432e-007	179,08	
29	58,	6,0445e-007	179,01	
30	60,	6,2692e-007	178,93	
31	62,	6,5213e-007	178,85	
32	64,	6,8055e-007	178,75	
33	66,	7,1278e-007	178,65	
34	68,	7,496e-007	178,52	
35	70,	7,92e-007	178,39	
36	72,	8,4129e-007	178,23	
37	74,	8,992e-007	178,04	
38	76,	9,6815e-007	177,82	
39	78,	1,0515e-006	177,55	
40	80,	1,1542e-006	177,22	
41	82,	1,2837e-006	176,8	
42	84,	1,4519e-006	176,27	
43	86,	1,6788e-006	175,54	
44	88,	2,0011e-006	174,52	
45	90,	2,4941e-006	172,94	
46	92,	3,3381e-006	170,23	
47	94,	5,0911e-006	164,53	
48	96,	1,0353e-005	145,98	
49	98,	1,549e-005	59,674	
50	100,	6,2712e-006	21,119	
51	102,	3,6371e-006	12,441	
52	104,	2,5211e-006	8,8566	
53	106,	1,9122e-006	6,9149	
54	108,	1,5301e-006	5,7006	
55	110,	1,2685e-006	4,8707	
56	112,	1,0783e-006	4,2684	
57	114,	9,3393e-007	3,8117	
58	116,	8,2062e-007	3,4541	
59	118,	7,2937e-007	3,1668	
60	120,	6,5436e-007	2,9312	
61	122,	5,9161e-007	2,7348	
62	124,	5,3838e-007	2,5688	
63	126,	4,9267e-007	2,427	
64	128,	4,5299e-007	2,3047	
65	130,	4,1825e-007	2,1984	
66	132,	3,8757e-007	2,1053	
67	134,	3,603e-007	2,0233	
68	136,	3,3591e-007	1,9508	
69	138,	3,1396e-007	1,8865	
70	140,	2,9411e-007	1,8292	
71	142,	2,7609e-007	1,7781	
72	144,	2,5964e-007	1,7325	
73	146,	2,4458e-007	1,6917	
74	148,	2,3074e-007	1,6553	
75	150,	2,1798e-007	1,6228	
76	152,	2,0618e-007	1,5938	
77	154,	1,9524e-007	1,5681	
78	156,	1,8507e-007	1,5455	
79	158,	1,7559e-007	1,5256	
80	160,	1,6673e-007	1,5083	
81	162,	1,5844e-007	1,4935	
82	164,	1,5067e-007	1,4811	
83	166,	1,4336e-007	1,4708	
84	168,	1,3649e-007	1,4627	
85	170,	1,3e-007	1,4567	
86	172,	1,2388e-007	1,4527	
