	Frequency [Hz]	Amplitude [Pa]	Phase Angle [°]	
1	2,	3,3913e+005	-0,22438	
2	4,	3,3953e+005	-0,44933	
3	6,	3,4019e+005	-0,67545	
4	8,	3,4113e+005	-0,90333	
5	10,	3,4234e+005	-1,1336	
6	12,	3,4383e+005	-1,3668	
7	14,	3,4561e+005	-1,6037	
8	16,	3,4768e+005	-1,845	
9	18,	3,5007e+005	-2,0913	
10	20,	3,5278e+005	-2,3435	
11	22,	3,5582e+005	-2,6023	
12	24,	3,5921e+005	-2,8687	
13	26,	3,6298e+005	-3,1436	
14	28,	3,6714e+005	-3,4281	
15	30,	3,7172e+005	-3,7234	
16	32,	3,7674e+005	-4,0306	
17	34,	3,8225e+005	-4,3513	
18	36,	3,8827e+005	-4,687	
19	38,	3,9484e+005	-5,0394	
20	40,	4,0203e+005	-5,4105	
21	42,	4,0987e+005	-5,8027	
22	44,	4,1844e+005	-6,2183	
23	46,	4,278e+005	-6,6604	
24	48,	4,3804e+005	-7,1323	
25	50,	4,4925e+005	-7,6378	
26	52,	4,6155e+005	-8,1815	
27	54,	4,7506e+005	-8,7685	
28	56,	4,8995e+005	-9,4052	
29	58,	5,0637e+005	-10,099	
30	60,	5,2456e+005	-10,858	
31	62,	5,4476e+005	-11,694	
32	64,	5,6727e+005	-12,618	
33	66,	5,9245e+005	-13,647	
34	68,	6,2075e+005	-14,8	
35	70,	6,5268e+005	-16,101	
36	72,	6,8889e+005	-17,58	
37	74,	7,3017e+005	-19,276	
38	76,	7,7745e+005	-21,237	
39	78,	8,3186e+005	-23,527	
40	80,	8,947e+005	-26,229	
41	82,	9,6742e+005	-29,452	
42	84,	1,0514e+006	-33,336	
43	86,	1,1474e+006	-38,062	
44	88,	1,2548e+006	-43,851	
45	90,	1,3692e+006	-50,942	
46	92,	1,48e+006	-59,532	
47	94,	1,5683e+006	-69,639	
48	96,	1,6098e+006	-80,931	
49	98,	1,5872e+006	-92,659	
50	100,	1,5039e+006	-103,89	
51	102,	1,3812e+006	-113,9	
52	104,	1,2444e+006	-122,39	
53	106,	1,1113e+006	-129,38	
54	108,	9,9053e+005	-135,08	
55	110,	8,8485e+005	-139,74	
56	112,	7,9379e+005	-143,56	
57	114,	7,1572e+005	-146,73	
58	116,	6,4873e+005	-149,38	
59	118,	5,9102e+005	-151,62	
60	120,	5,4105e+005	-153,54	
61	122,	4,9751e+005	-155,19	
62	124,	4,5936e+005	-156,63	
63	126,	4,2571e+005	-157,88	
64	128,	3,9588e+005	-158,99	
65	130,	3,6928e+005	-159,97	
66	132,	3,4544e+005	-160,85	
67	134,	3,2397e+005	-161,64	
68	136,	3,0456e+005	-162,35	
69	138,	2,8693e+005	-162,99	
70	140,	2,7087e+005	-163,57	
71	142,	2,5617e+005	-164,1	
72	144,	2,4268e+005	-164,58	
73	146,	2,3026e+005	-165,02	
74	148,	2,188e+005	-165,42	
75	150,	2,0818e+005	-165,8	
76	152,	1,9833e+005	-166,14	
77	154,	1,8917e+005	-166,45	
78	156,	1,8062e+005	-166,74	
79	158,	1,7264e+005	-167,01	
80	160,	1,6517e+005	-167,26	
81	162,	1,5816e+005	-167,49	
82	164,	1,5157e+005	-167,7	
83	166,	1,4538e+005	-167,89	
84	168,	1,3953e+005	-168,07	
85	170,	1,3402e+005	-168,24	
