	Frequency [Hz]	Amplitude [Pa]	Phase Angle [°]	
86	172,	1,288e+005	-168,39	
87	174,	1,2387e+005	-168,53	
88	176,	1,1919e+005	-168,66	
89	178,	1,1475e+005	-168,78	
90	180,	1,1053e+005	-168,88	
91	182,	1,0652e+005	-168,98	
92	184,	1,0269e+005	-169,07	
93	186,	99048	-169,14	
94	188,	95571	-169,21	
95	190,	92249	-169,27	
96	192,	89073	-169,32	
97	194,	86033	-169,36	
98	196,	83122	-169,39	
99	198,	80332	-169,42	
100	200,	77655	-169,43	
101	202,	75085	-169,44	
102	204,	72616	-169,44	
103	206,	70242	-169,43	
104	208,	67958	-169,42	
105	210,	65759	-169,39	
106	212,	63640	-169,36	
107	214,	61598	-169,32	
108	216,	59627	-169,28	
109	218,	57726	-169,22	
110	220,	55889	-169,16	
111	222,	54114	-169,08	
112	224,	52398	-169,	
113	226,	50738	-168,91	
114	228,	49131	-168,81	
115	230,	47575	-168,69	
116	232,	46068	-168,57	
117	234,	44607	-168,44	
118	236,	43190	-168,3	
119	238,	41815	-168,14	
120	240,	40480	-167,98	
121	242,	39185	-167,8	
122	244,	37926	-167,61	
123	246,	36702	-167,4	
124	248,	35513	-167,18	
125	250,	34357	-166,94	
126	252,	33231	-166,69	
127	254,	32136	-166,42	
128	256,	31070	-166,13	
129	258,	30031	-165,83	
130	260,	29020	-165,5	
131	262,	28034	-165,15	
132	264,	27074	-164,77	
133	266,	26137	-164,38	
134	268,	25224	-163,95	
135	270,	24334	-163,49	
136	272,	23465	-163,01	
137	274,	22618	-162,49	
138	276,	21791	-161,93	
139	278,	20985	-161,33	
140	280,	20198	-160,69	
141	282,	19431	-160,01	
142	284,	18683	-159,27	
143	286,	17953	-158,48	
144	288,	17242	-157,63	
145	290,	16549	-156,71	
146	292,	15875	-155,73	
147	294,	15218	-154,66	
148	296,	14580	-153,51	
149	298,	13960	-152,26	
150	300,	13359	-150,91	
151	302,	12778	-149,45	
152	304,	12216	-147,86	
153	306,	11674	-146,13	
154	308,	11154	-144,26	
155	310,	10656	-142,22	
156	312,	10181	-140,	
157	314,	9732,2	-137,59	
158	316,	9309,7	-134,98	
159	318,	8915,9	-132,15	
160	320,	8552,9	-129,09	
161	322,	8223,	-125,81	
162	324,	7928,5	-122,29	
163	326,	7671,9	-118,55	
164	328,	7455,5	-114,6	
165	330,	7281,3	-110,47	
166	332,	7151,1	-106,21	
167	334,	7065,9	-101,85	
168	336,	7026,1	-97,445	
169	338,	7031,3	-93,058	
170	340,	7080,5	-88,742	
171	342,	7171,7	-84,547	
172	344,	7302,7	-80,514	
173	346,	7470,7	-76,676	
174	348,	7672,5	-73,055	
175	350,	7905,2	-69,664	
176	352,	8165,7	-66,507	
177	354,	8451,	-63,58	
178	356,	8758,6	-60,877	
179	358,	9086,	-58,387	
180	360,	9431,1	-56,096	
181	362,	9792,	-53,991	
182	364,	10167	-52,058	
183	366,	10555	-50,283	
184	368,	10955	-48,653	
185	370,	11365	-47,155	
186	372,	11785	-45,779	
187	374,	12215	-44,514	
188	376,	12654	-43,351	
189	378,	13101	-42,281	
190	380,	13556	-41,297	
191	382,	14019	-40,391	
192	384,	14490	-39,56	
193	386,	14968	-38,796	
194	388,	15455	-38,096	
195	390,	15949	-37,456	
196	392,	16450	-36,872	
197	394,	16959	-36,341	
198	396,	17476	-35,86	
199	398,	18000	-35,427	
200	400,	18531	-35,039	
201	402,	19070	-34,693	
202	404,	19615	-34,388	
203	406,	20168	-34,121	
204	408,	20727	-33,89	
205	410,	21293	-33,693	
206	412,	21865	-33,528	
207	414,	22444	-33,394	
208	416,	23030	-33,287	
209	418,	23622	-33,207	
210	420,	24221	-33,152	
211	422,	24828	-33,12	
212	424,	25441	-33,111	
213	426,	26063	-33,123	
214	428,	26692	-33,155	
215	430,	27330	-33,207	
216	432,	27977	-33,278	
217	434,	28633	-33,366	
218	436,	29299	-33,473	
219	438,	29974	-33,598	
220	440,	30661	-33,739	
221	442,	31358	-33,898	
222	444,	32068	-34,074	
223	446,	32789	-34,266	
224	448,	33523	-34,476	
225	450,	34270	-34,703	
226	452,	35032	-34,948	
227	454,	35807	-35,209	
228	456,	36598	-35,489	
229	458,	37403	-35,786	
230	460,	38225	-36,102	
231	462,	39064	-36,436	
232	464,	39920	-36,79	
233	466,	40794	-37,163	
234	468,	41686	-37,556	
235	470,	42598	-37,969	
236	472,	43529	-38,404	
237	474,	44480	-38,86	
238	476,	45452	-39,338	
239	478,	46446	-39,84	
240	480,	47462	-40,365	
241	482,	48500	-40,915	
242	484,	49562	-41,49	
243	486,	50647	-42,091	
244	488,	51755	-42,719	
245	490,	52889	-43,375	
246	492,	54047	-44,061	
247	494,	55229	-44,776	
248	496,	56437	-45,522	
249	498,	57670	-46,3	
250	500,	58927	-47,112	
251	502,	60209	-47,958	
252	504,	61515	-48,839	
253	506,	62844	-49,757	
254	508,	64196	-50,714	
255	510,	65569	-51,709	
256	512,	66962	-52,745	
257	514,	68373	-53,822	
258	516,	69800	-54,942	
259	518,	71240	-56,106	
260	520,	72690	-57,315	
261	522,	74147	-58,569	
262	524,	75607	-59,87	
263	526,	77065	-61,218	
264	528,	78516	-62,614	
265	530,	79955	-64,057	
266	532,	81376	-65,549	
267	534,	82771	-67,088	
268	536,	84134	-68,674	
269	538,	85457	-70,307	
270	540,	86732	-71,984	
271	542,	87951	-73,705	
272	544,	89105	-75,468	
273	546,	90185	-77,269	
274	548,	91184	-79,107	
275	550,	92093	-80,978	
276	552,	92905	-82,878	
277	554,	93613	-84,803	
278	556,	94210	-86,75	
279	558,	94692	-88,712	
280	560,	95054	-90,687	
281	562,	95294	-92,667	
282	564,	95411	-94,65	
283	566,	95404	-96,628	
284	568,	95275	-98,598	
285	570,	95026	-100,55	
286	572,	94662	-102,49	
287	574,	94187	-104,41	
288	576,	93607	-106,3	
289	578,	92929	-108,15	
290	580,	92161	-109,98	
291	582,	91310	-111,77	
292	584,	90385	-113,52	
293	586,	89393	-115,22	
294	588,	88343	-116,89	
295	590,	87242	-118,51	
296	592,	86099	-120,08	
297	594,	84921	-121,61	
298	596,	83715	-123,1	
299	598,	82487	-124,53	
300	600,	81243	-125,92	
301	602,	79989	-127,27	
302	604,	78729	-128,57	
303	606,	77468	-129,83	
304	608,	76210	-131,05	
305	610,	74958	-132,22	
306	612,	73716	-133,35	
307	614,	72486	-134,44	
308	616,	71270	-135,5	
309	618,	70070	-136,51	
310	620,	68888	-137,49	
311	622,	67724	-138,44	
312	624,	66581	-139,35	
313	626,	65459	-140,24	
314	628,	64358	-141,08	
315	630,	63279	-141,91	
316	632,	62223	-142,7	
317	634,	61189	-143,46	
318	636,	60177	-144,2	
319	638,	59188	-144,91	
320	640,	58221	-145,6	
321	642,	57276	-146,26	
322	644,	56354	-146,91	
323	646,	55452	-147,53	
324	648,	54572	-148,13	
325	650,	53713	-148,71	
326	652,	52875	-149,27	
327	654,	52056	-149,82	
328	656,	51257	-150,34	
329	658,	50477	-150,85	
330	660,	49716	-151,35	
331	662,	48973	-151,83	
332	664,	48247	-152,29	
333	666,	47539	-152,74	
334	668,	46848	-153,18	
335	670,	46173	-153,6	
336	672,	45514	-154,01	
337	674,	44871	-154,41	
338	676,	44242	-154,8	
339	678,	43628	-155,18	
340	680,	43029	-155,54	
341	682,	42443	-155,9	
342	684,	41870	-156,25	
343	686,	41311	-156,58	
344	688,	40764	-156,91	
345	690,	40229	-157,23	
346	692,	39706	-157,54	
347	694,	39195	-157,84	
348	696,	38695	-158,13	
349	698,	38206	-158,42	
350	700,	37727	-158,7	
351	702,	37259	-158,97	
352	704,	36801	-159,24	
353	706,	36352	-159,5	
354	708,	35913	-159,75	
355	710,	35483	-159,99	
356	712,	35061	-160,23	
357	714,	34649	-160,47	
358	716,	34244	-160,7	
359	718,	33848	-160,92	
360	720,	33460	-161,14	
361	722,	33079	-161,35	
362	724,	32706	-161,56	
363	726,	32341	-161,76	
364	728,	31982	-161,96	
365	730,	31630	-162,16	
366	732,	31285	-162,35	
367	734,	30947	-162,53	
368	736,	30614	-162,72	
369	738,	30288	-162,89	
370	740,	29968	-163,07	
371	742,	29654	-163,24	
372	744,	29346	-163,41	
373	746,	29043	-163,57	
374	748,	28745	-163,73	
375	750,	28453	-163,89	
376	752,	28166	-164,04	
377	754,	27884	-164,19	
378	756,	27607	-164,34	
379	758,	27334	-164,49	
380	760,	27067	-164,63	
381	762,	26803	-164,77	
382	764,	26545	-164,91	
383	766,	26290	-165,04	
384	768,	26040	-165,17	
385	770,	25794	-165,3	
386	772,	25551	-165,43	
387	774,	25313	-165,55	
388	776,	25079	-165,67	
389	778,	24848	-165,79	
390	780,	24621	-165,91	
391	782,	24398	-166,03	
392	784,	24178	-166,14	
393	786,	23961	-166,25	
394	788,	23748	-166,36	
395	790,	23538	-166,47	
396	792,	23331	-166,58	
397	794,	23128	-166,68	
398	796,	22927	-166,78	
399	798,	22729	-166,88	
400	800,	22535	-166,98	
401	802,	22343	-167,08	
402	804,	22154	-167,17	
403	806,	21967	-167,27	
404	808,	21784	-167,36	
405	810,	21602	-167,45	
406	812,	21424	-167,54	
407	814,	21248	-167,63	
408	816,	21074	-167,71	
409	818,	20903	-167,8	
410	820,	20734	-167,88	
411	822,	20568	-167,97	
412	824,	20404	-168,05	
413	826,	20242	-168,13	
414	828,	20082	-168,21	
415	830,	19924	-168,28	
416	832,	19769	-168,36	
417	834,	19615	-168,43	
418	836,	19464	-168,51	
419	838,	19314	-168,58	
420	840,	19166	-168,65	
421	842,	19021	-168,72	
422	844,	18877	-168,79	
423	846,	18735	-168,86	
424	848,	18594	-168,93	
425	850,	18456	-169,	
426	852,	18319	-169,06	
427	854,	18184	-169,13	
428	856,	18051	-169,19	
429	858,	17919	-169,25	
430	860,	17789	-169,32	
431	862,	17660	-169,38	
432	864,	17533	-169,44	
433	866,	17408	-169,5	
434	868,	17284	-169,56	
435	870,	17161	-169,61	
436	872,	17040	-169,67	
437	874,	16920	-169,73	
438	876,	16802	-169,78	
439	878,	16685	-169,84	
440	880,	16569	-169,89	
441	882,	16455	-169,94	
442	884,	16342	-170,	
443	886,	16230	-170,05	
444	888,	16120	-170,1	
445	890,	16011	-170,15	
446	892,	15903	-170,2	
447	894,	15796	-170,25	
448	896,	15690	-170,3	
449	898,	15586	-170,34	
450	900,	15482	-170,39	
451	902,	15380	-170,44	
452	904,	15279	-170,48	
453	906,	15179	-170,53	
454	908,	15080	-170,57	
455	910,	14982	-170,62	
456	912,	14885	-170,66	
457	914,	14789	-170,7	
458	916,	14694	-170,75	
459	918,	14600	-170,79	
460	920,	14508	-170,83	
461	922,	14416	-170,87	
462	924,	14325	-170,91	
463	926,	14234	-170,95	
464	928,	14145	-170,99	
465	930,	14057	-171,03	
466	932,	13970	-171,07	
467	934,	13883	-171,1	
468	936,	13797	-171,14	
469	938,	13713	-171,18	
470	940,	13629	-171,21	
471	942,	13546	-171,25	
472	944,	13463	-171,28	
473	946,	13382	-171,32	
474	948,	13301	-171,35	
475	950,	13221	-171,39	
476	952,	13142	-171,42	
477	954,	13063	-171,45	
478	956,	12986	-171,49	
479	958,	12909	-171,52	
480	960,	12832	-171,55	
481	962,	12757	-171,58	
482	964,	12682	-171,61	
483	966,	12608	-171,64	
484	968,	12534	-171,67	
485	970,	12462	-171,7	
486	972,	12389	-171,73	
487	974,	12318	-171,76	
488	976,	12247	-171,79	
489	978,	12177	-171,82	
490	980,	12107	-171,85	
491	982,	12038	-171,88	
492	984,	11970	-171,9	
493	986,	11902	-171,93	
494	988,	11835	-171,96	
495	990,	11769	-171,98	
496	992,	11703	-172,01	
497	994,	11637	-172,03	
498	996,	11573	-172,06	
499	998,	11508	-172,08	
500	1000,	11445	-172,11	
