	Frequency [Hz]	Amplitude [Pa]	Phase Angle [°]	
1	2,	3,3913e+005	-2,2438e-002	
2	4,	3,3954e+005	-4,4934e-002	
3	6,	3,4022e+005	-6,7549e-002	
4	8,	3,4117e+005	-9,0342e-002	
5	10,	3,4241e+005	-0,11338	
6	12,	3,4393e+005	-0,13671	
7	14,	3,4575e+005	-0,16042	
8	16,	3,4788e+005	-0,18457	
9	18,	3,5032e+005	-0,20924	
10	20,	3,5309e+005	-0,2345	
11	22,	3,5621e+005	-0,26043	
12	24,	3,5969e+005	-0,28714	
13	26,	3,6356e+005	-0,31472	
14	28,	3,6784e+005	-0,34327	
15	30,	3,7255e+005	-0,37293	
16	32,	3,7774e+005	-0,40381	
17	34,	3,8342e+005	-0,43607	
18	36,	3,8965e+005	-0,46987	
19	38,	3,9647e+005	-0,5054	
20	40,	4,0394e+005	-0,54286	
21	42,	4,1211e+005	-0,58249	
22	44,	4,2106e+005	-0,62457	
23	46,	4,3088e+005	-0,6694	
24	48,	4,4165e+005	-0,71734	
25	50,	4,535e+005	-0,76882	
26	52,	4,6656e+005	-0,82434	
27	54,	4,8099e+005	-0,88447	
28	56,	4,9697e+005	-0,9499	
29	58,	5,1475e+005	-1,0215	
30	60,	5,346e+005	-1,1002	
31	62,	5,5686e+005	-1,1873	
32	64,	5,8196e+005	-1,2844	
33	66,	6,1044e+005	-1,3933	
34	68,	6,4296e+005	-1,5165	
35	70,	6,8042e+005	-1,6572	
36	72,	7,2395e+005	-1,8194	
37	74,	7,7512e+005	-2,0088	
38	76,	8,3603e+005	-2,233	
39	78,	9,0968e+005	-2,5026	
40	80,	1,0004e+006	-2,8335	
41	82,	1,1148e+006	-3,2493	
42	84,	1,2634e+006	-3,7879	
43	86,	1,4639e+006	-4,5132	
44	88,	1,7488e+006	-5,5431	
45	90,	2,1844e+006	-7,1196	
46	92,	2,9304e+006	-9,8305	
47	94,	4,4797e+006	-15,541	
48	96,	9,132e+006	-34,091	
49	98,	1,3697e+007	-120,4	
50	100,	5,5599e+006	-158,95	
51	102,	3,2331e+006	-167,64	
52	104,	2,2472e+006	-171,22	
53	106,	1,7093e+006	-173,17	
54	108,	1,3718e+006	-174,38	
55	110,	1,1406e+006	-175,22	
56	112,	9,726e+005	-175,82	
57	114,	8,4504e+005	-176,28	
58	116,	7,4494e+005	-176,64	
59	118,	6,6434e+005	-176,93	
60	120,	5,9808e+005	-177,17	
61	122,	5,4267e+005	-177,37	
62	124,	4,9566e+005	-177,54	
63	126,	4,5529e+005	-177,69	
64	128,	4,2026e+005	-177,82	
65	130,	3,8959e+005	-177,93	
66	132,	3,6251e+005	-178,02	
67	134,	3,3844e+005	-178,11	
68	136,	3,1692e+005	-178,19	
69	138,	2,9755e+005	-178,26	
70	140,	2,8004e+005	-178,32	
71	142,	2,6414e+005	-178,38	
72	144,	2,4964e+005	-178,43	
73	146,	2,3636e+005	-178,48	
74	148,	2,2416e+005	-178,52	
75	150,	2,1292e+005	-178,56	
76	152,	2,0253e+005	-178,59	
77	154,	1,9289e+005	-178,63	
78	156,	1,8394e+005	-178,66	
79	158,	1,7559e+005	-178,69	
80	160,	1,678e+005	-178,71	
81	162,	1,6051e+005	-178,74	
82	164,	1,5368e+005	-178,76	
83	166,	1,4726e+005	-178,78	
84	168,	1,4122e+005	-178,8	
85	170,	1,3553e+005	-178,81	
