	Frequency [Hz]	Amplitude [Pa]	Phase Angle [°]	
86	172,	1,3016e+005	-178,83	
87	174,	1,2508e+005	-178,84	
88	176,	1,2027e+005	-178,86	
89	178,	1,1571e+005	-178,87	
90	180,	1,1138e+005	-178,88	
91	182,	1,0727e+005	-178,89	
92	184,	1,0335e+005	-178,9	
93	186,	99625	-178,91	
94	188,	96070	-178,91	
95	190,	92677	-178,92	
96	192,	89435	-178,92	
97	194,	86334	-178,93	
98	196,	83366	-178,93	
99	198,	80522	-178,93	
100	200,	77795	-178,94	
101	202,	75178	-178,94	
102	204,	72664	-178,94	
103	206,	70248	-178,94	
104	208,	67924	-178,93	
105	210,	65686	-178,93	
106	212,	63531	-178,93	
107	214,	61453	-178,92	
108	216,	59449	-178,92	
109	218,	57514	-178,91	
110	220,	55645	-178,91	
111	222,	53840	-178,9	
112	224,	52093	-178,89	
113	226,	50404	-178,88	
114	228,	48768	-178,87	
115	230,	47183	-178,86	
116	232,	45647	-178,84	
117	234,	44158	-178,83	
118	236,	42713	-178,81	
119	238,	41310	-178,8	
120	240,	39947	-178,78	
121	242,	38623	-178,76	
122	244,	37336	-178,74	
123	246,	36083	-178,72	
124	248,	34865	-178,69	
125	250,	33678	-178,67	
126	252,	32523	-178,64	
127	254,	31396	-178,61	
128	256,	30298	-178,58	
129	258,	29227	-178,54	
130	260,	28181	-178,51	
131	262,	27161	-178,47	
132	264,	26164	-178,43	
133	266,	25190	-178,38	
134	268,	24237	-178,33	
135	270,	23306	-178,28	
136	272,	22395	-178,23	
137	274,	21503	-178,17	
138	276,	20629	-178,1	
139	278,	19773	-178,03	
140	280,	18935	-177,96	
141	282,	18112	-177,87	
142	284,	17306	-177,79	
143	286,	16514	-177,69	
144	288,	15737	-177,58	
145	290,	14974	-177,46	
146	292,	14224	-177,34	
147	294,	13487	-177,2	
148	296,	12762	-177,04	
149	298,	12049	-176,87	
150	300,	11348	-176,67	
151	302,	10657	-176,46	
152	304,	9976,8	-176,21	
153	306,	9306,7	-175,93	
154	308,	8646,3	-175,61	
155	310,	7995,3	-175,24	
156	312,	7353,3	-174,81	
157	314,	6720,1	-174,3	
158	316,	6095,4	-173,69	
159	318,	5479,	-172,95	
160	320,	4871,	-172,02	
161	322,	4271,4	-170,85	
162	324,	3680,6	-169,31	
163	326,	3099,6	-167,19	
164	328,	2530,6	-164,14	
165	330,	1978,1	-159,4	
166	332,	1454,3	-151,18	
167	334,	995,6	-134,82	
168	336,	724,28	-100,66	
169	338,	836,17	-59,114	
170	340,	1225,	-36,214	
171	342,	1707,5	-25,315	
172	344,	2220,7	-19,376	
173	346,	2745,6	-15,716	
174	348,	3275,1	-13,255	
175	350,	3806,	-11,493	
176	352,	4336,8	-10,174	
177	354,	4867,	-9,1499	
178	356,	5396,	-8,3329	
179	358,	5923,6	-7,6664	
180	360,	6449,8	-7,1123	
181	362,	6974,4	-6,6441	
182	364,	7497,5	-6,243	
183	366,	8018,9	-5,8947	
184	368,	8538,5	-5,5886	
185	370,	9056,3	-5,3162	
186	372,	9571,8	-5,0705	
187	374,	10085	-4,8456	
188	376,	10595	-4,6361	
189	378,	11101	-4,4368	
190	380,	11602	-4,2419	
191	382,	12097	-4,0446	
192	384,	12584	-3,8362	
193	386,	13059	-3,6037	
194	388,	13518	-3,3274	
195	390,	13957	-2,9735	
196	392,	14368	-2,4819	
197	394,	14744	-1,7372	
198	396,	15095	-0,51135	
199	398,	15497	1,6085	
200	400,	16279	4,9102	
201	402,	18044	7,5449	
202	404,	20271	6,0859	
203	406,	21570	2,6896	
204	408,	22158	0,26962	
205	410,	22574	-1,1009	
206	412,	22998	-1,8781	
207	414,	23466	-2,3424	
208	416,	23978	-2,6358	
209	418,	24527	-2,831	
210	420,	25108	-2,9669	
211	422,	25717	-3,0655	
212	424,	26349	-3,1401	
213	426,	27005	-3,1987	
214	428,	27681	-3,2467	
215	430,	28378	-3,2874	
216	432,	29094	-3,3233	
217	434,	29831	-3,3561	
218	436,	30587	-3,3871	
219	438,	31364	-3,4169	
220	440,	32162	-3,4465	
221	442,	32981	-3,4762	
222	444,	33823	-3,5065	
223	446,	34689	-3,5378	
224	448,	35578	-3,5702	
225	450,	36494	-3,604	
226	452,	37436	-3,6395	
227	454,	38407	-3,6767	
228	456,	39408	-3,7159	
229	458,	40440	-3,7572	
230	460,	41506	-3,8008	
231	462,	42607	-3,8468	
232	464,	43746	-3,8954	
233	466,	44924	-3,9467	
234	468,	46145	-4,0009	
235	470,	47411	-4,0582	
236	472,	48725	-4,1188	
237	474,	50090	-4,1828	
238	476,	51510	-4,2505	
239	478,	52989	-4,322	
240	480,	54531	-4,3978	
241	482,	56140	-4,478	
242	484,	57821	-4,5629	
243	486,	59581	-4,6529	
244	488,	61424	-4,7483	
245	490,	63359	-4,8496	
246	492,	65392	-4,9572	
247	494,	67532	-5,0716	
248	496,	69788	-5,1933	
249	498,	72170	-5,323	
250	500,	74691	-5,4615	
251	502,	77362	-5,6094	
252	504,	80200	-5,7677	
253	506,	83220	-5,9374	
254	508,	86441	-6,1197	
255	510,	89886	-6,3159	
256	512,	93578	-6,5275	
257	514,	97548	-6,7563	
258	516,	1,0183e+005	-7,0042	
259	518,	1,0646e+005	-7,2738	
260	520,	1,1148e+005	-7,5678	
261	522,	1,1695e+005	-7,8895	
262	524,	1,2292e+005	-8,2427	
263	526,	1,2949e+005	-8,6324	
264	528,	1,3673e+005	-9,064	
265	530,	1,4476e+005	-9,5446	
266	532,	1,5372e+005	-10,083	
267	534,	1,6376e+005	-10,689	
268	536,	1,7511e+005	-11,377	
269	538,	1,8803e+005	-12,164	
270	540,	2,0286e+005	-13,072	
271	542,	2,2005e+005	-14,13	
272	544,	2,402e+005	-15,378	
273	546,	2,641e+005	-16,87	
274	548,	2,9285e+005	-18,682	
275	550,	3,2797e+005	-20,924	
276	552,	3,7159e+005	-23,758	
277	554,	4,2672e+005	-27,433	
278	556,	4,9746e+005	-32,336	
279	558,	5,8867e+005	-39,083	
280	560,	7,032e+005	-48,606	
281	562,	8,3129e+005	-62,067	
282	564,	9,298e+005	-79,927	
283	566,	9,3334e+005	-99,993	
284	568,	8,3983e+005	-117,98	
285	570,	7,1365e+005	-131,59	
286	572,	5,995e+005	-141,23	
287	574,	5,082e+005	-148,05	
288	576,	4,3727e+005	-153,	
289	578,	3,8196e+005	-156,71	
290	580,	3,382e+005	-159,57	
291	582,	3,0298e+005	-161,83	
292	584,	2,7415e+005	-163,66	
293	586,	2,5019e+005	-165,16	
294	588,	2,3e+005	-166,42	
295	590,	2,1277e+005	-167,48	
296	592,	1,9792e+005	-168,4	
297	594,	1,8499e+005	-169,19	
298	596,	1,7364e+005	-169,89	
299	598,	1,636e+005	-170,5	
300	600,	1,5465e+005	-171,04	
301	602,	1,4663e+005	-171,53	
302	604,	1,394e+005	-171,96	
303	606,	1,3285e+005	-172,36	
304	608,	1,269e+005	-172,72	
305	610,	1,2145e+005	-173,04	
306	612,	1,1646e+005	-173,34	
307	614,	1,1186e+005	-173,62	
308	616,	1,0761e+005	-173,87	
309	618,	1,0367e+005	-174,1	
310	620,	1,0001e+005	-174,32	
311	622,	96608	-174,52	
312	624,	93426	-174,71	
313	626,	90447	-174,89	
314	628,	87654	-175,05	
315	630,	85028	-175,2	
316	632,	82555	-175,35	
317	634,	80222	-175,49	
318	636,	78017	-175,62	
319	638,	75930	-175,74	
320	640,	73952	-175,85	
321	642,	72073	-175,96	
322	644,	70288	-176,06	
323	646,	68589	-176,16	
324	648,	66969	-176,26	
325	650,	65424	-176,35	
326	652,	63948	-176,43	
327	654,	62537	-176,51	
328	656,	61186	-176,59	
329	658,	59891	-176,66	
330	660,	58650	-176,73	
331	662,	57458	-176,8	
332	664,	56313	-176,87	
333	666,	55213	-176,93	
334	668,	54153	-176,99	
335	670,	53133	-177,05	
336	672,	52150	-177,1	
337	674,	51202	-177,16	
338	676,	50288	-177,21	
339	678,	49404	-177,26	
340	680,	48551	-177,31	
341	682,	47725	-177,35	
342	684,	46927	-177,4	
343	686,	46154	-177,44	
344	688,	45405	-177,48	
345	690,	44680	-177,52	
346	692,	43976	-177,56	
347	694,	43294	-177,6	
348	696,	42632	-177,63	
349	698,	41989	-177,67	
350	700,	41364	-177,7	
351	702,	40758	-177,74	
352	704,	40167	-177,77	
353	706,	39594	-177,8	
354	708,	39035	-177,83	
355	710,	38492	-177,86	
356	712,	37962	-177,89	
357	714,	37447	-177,92	
358	716,	36944	-177,95	
359	718,	36454	-177,97	
360	720,	35977	-178,	
361	722,	35511	-178,02	
362	724,	35056	-178,05	
363	726,	34612	-178,07	
364	728,	34179	-178,09	
365	730,	33755	-178,12	
366	732,	33342	-178,14	
367	734,	32938	-178,16	
368	736,	32543	-178,18	
369	738,	32156	-178,2	
370	740,	31779	-178,22	
371	742,	31409	-178,24	
372	744,	31047	-178,26	
373	746,	30693	-178,28	
374	748,	30347	-178,3	
375	750,	30007	-178,32	
376	752,	29675	-178,33	
377	754,	29349	-178,35	
378	756,	29030	-178,37	
379	758,	28717	-178,38	
380	760,	28410	-178,4	
381	762,	28110	-178,41	
382	764,	27815	-178,43	
383	766,	27525	-178,44	
384	768,	27241	-178,46	
385	770,	26963	-178,47	
386	772,	26689	-178,49	
387	774,	26421	-178,5	
388	776,	26157	-178,51	
389	778,	25899	-178,53	
390	780,	25644	-178,54	
391	782,	25395	-178,55	
392	784,	25149	-178,57	
393	786,	24908	-178,58	
394	788,	24671	-178,59	
395	790,	24438	-178,6	
396	792,	24209	-178,61	
397	794,	23984	-178,63	
398	796,	23762	-178,64	
399	798,	23544	-178,65	
400	800,	23330	-178,66	
401	802,	23119	-178,67	
402	804,	22912	-178,68	
403	806,	22708	-178,69	
404	808,	22507	-178,7	
405	810,	22309	-178,71	
406	812,	22114	-178,72	
407	814,	21922	-178,73	
408	816,	21733	-178,74	
409	818,	21547	-178,75	
410	820,	21364	-178,76	
411	822,	21184	-178,76	
412	824,	21006	-178,77	
413	826,	20830	-178,78	
414	828,	20658	-178,79	
415	830,	20488	-178,8	
416	832,	20320	-178,81	
417	834,	20154	-178,82	
418	836,	19991	-178,82	
419	838,	19830	-178,83	
420	840,	19672	-178,84	
421	842,	19515	-178,85	
422	844,	19361	-178,85	
423	846,	19209	-178,86	
424	848,	19059	-178,87	
425	850,	18911	-178,88	
426	852,	18765	-178,88	
427	854,	18621	-178,89	
428	856,	18478	-178,9	
429	858,	18338	-178,9	
430	860,	18199	-178,91	
431	862,	18063	-178,92	
432	864,	17928	-178,92	
433	866,	17794	-178,93	
434	868,	17663	-178,93	
435	870,	17533	-178,94	
436	872,	17404	-178,95	
437	874,	17277	-178,95	
438	876,	17152	-178,96	
439	878,	17029	-178,96	
440	880,	16906	-178,97	
441	882,	16786	-178,98	
442	884,	16666	-178,98	
443	886,	16548	-178,99	
444	888,	16432	-178,99	
445	890,	16317	-179,	
446	892,	16203	-179,	
447	894,	16091	-179,01	
448	896,	15980	-179,01	
449	898,	15870	-179,02	
450	900,	15761	-179,02	
451	902,	15654	-179,03	
452	904,	15548	-179,03	
453	906,	15443	-179,04	
454	908,	15339	-179,04	
455	910,	15236	-179,05	
456	912,	15135	-179,05	
457	914,	15034	-179,05	
458	916,	14935	-179,06	
459	918,	14837	-179,06	
460	920,	14740	-179,07	
461	922,	14644	-179,07	
462	924,	14548	-179,08	
463	926,	14454	-179,08	
464	928,	14361	-179,08	
465	930,	14269	-179,09	
466	932,	14178	-179,09	
467	934,	14088	-179,1	
468	936,	13998	-179,1	
469	938,	13910	-179,1	
470	940,	13823	-179,11	
471	942,	13736	-179,11	
472	944,	13650	-179,12	
473	946,	13566	-179,12	
474	948,	13482	-179,12	
475	950,	13398	-179,13	
476	952,	13316	-179,13	
477	954,	13235	-179,13	
478	956,	13154	-179,14	
479	958,	13074	-179,14	
480	960,	12995	-179,14	
481	962,	12916	-179,15	
482	964,	12839	-179,15	
483	966,	12762	-179,15	
484	968,	12686	-179,16	
485	970,	12610	-179,16	
486	972,	12536	-179,16	
487	974,	12462	-179,17	
488	976,	12388	-179,17	
489	978,	12316	-179,17	
490	980,	12244	-179,17	
491	982,	12172	-179,18	
492	984,	12102	-179,18	
493	986,	12032	-179,18	
494	988,	11962	-179,19	
495	990,	11893	-179,19	
496	992,	11825	-179,19	
497	994,	11758	-179,19	
498	996,	11691	-179,2	
499	998,	11624	-179,2	
500	1000,	11559	-179,2	
