	Frequency [Hz]	Amplitude [m]	Phase Angle [°]	
127	254,	8,5938e-006	1,8939	
128	256,	8,4594e-006	1,8516	
129	258,	8,329e-006	1,8096	
130	260,	8,2025e-006	1,7679	
131	262,	8,0796e-006	1,7264	
132	264,	7,9603e-006	1,685	
133	266,	7,8445e-006	1,6438	
134	268,	7,7319e-006	1,6028	
135	270,	7,6225e-006	1,5619	
136	272,	7,5162e-006	1,521	
137	274,	7,4128e-006	1,4802	
138	276,	7,3123e-006	1,4394	
139	278,	7,2146e-006	1,3986	
140	280,	7,1195e-006	1,3578	
141	282,	7,027e-006	1,317	
142	284,	6,9371e-006	1,2761	
143	286,	6,8495e-006	1,2351	
144	288,	6,7643e-006	1,194	
145	290,	6,6814e-006	1,1528	
146	292,	6,6007e-006	1,1114	
147	294,	6,5221e-006	1,0698	
148	296,	6,4455e-006	1,028	
149	298,	6,371e-006	0,98603	
150	300,	6,2985e-006	0,94378	
151	302,	6,2278e-006	0,90125	
152	304,	6,159e-006	0,85843	
153	306,	6,0919e-006	0,81528	
154	308,	6,0266e-006	0,7718	
155	310,	5,963e-006	0,72794	
156	312,	5,9011e-006	0,68369	
157	314,	5,8407e-006	0,63903	
158	316,	5,7819e-006	0,59393	
159	318,	5,7246e-006	0,54835	
160	320,	5,6689e-006	0,50229	
161	322,	5,6145e-006	0,45571	
162	324,	5,5616e-006	0,40858	
163	326,	5,5101e-006	0,36088	
164	328,	5,4599e-006	0,31258	
165	330,	5,411e-006	0,26366	
166	332,	5,3634e-006	0,21407	
167	334,	5,3171e-006	0,1638	
168	336,	5,272e-006	0,11282	
169	338,	5,2281e-006	6,1086e-002	
170	340,	5,1855e-006	8,573e-003	
171	342,	5,1439e-006	-4,4752e-002	
172	344,	5,1035e-006	-9,8923e-002	
173	346,	5,0642e-006	-0,15398	
174	348,	5,026e-006	-0,20994	
175	350,	4,9889e-006	-0,26687	
176	352,	4,9529e-006	-0,32478	
177	354,	4,9179e-006	-0,38373	
178	356,	4,8839e-006	-0,44375	
179	358,	4,8509e-006	-0,50488	
180	360,	4,8189e-006	-0,56717	
181	362,	4,7879e-006	-0,63067	
182	364,	4,7578e-006	-0,69542	
183	366,	4,7288e-006	-0,76147	
184	368,	4,7006e-006	-0,82887	
185	370,	4,6734e-006	-0,89769	
186	372,	4,6471e-006	-0,96796	
187	374,	4,6217e-006	-1,0398	
188	376,	4,5972e-006	-1,1131	
189	378,	4,5736e-006	-1,1882	
190	380,	4,5509e-006	-1,2649	
191	382,	4,5291e-006	-1,3434	
192	384,	4,5081e-006	-1,4238	
193	386,	4,4881e-006	-1,506	
194	388,	4,4688e-006	-1,5903	
195	390,	4,4505e-006	-1,6766	
196	392,	4,433e-006	-1,7649	
197	394,	4,4163e-006	-1,8554	
198	396,	4,4005e-006	-1,9481	
199	398,	4,3855e-006	-2,0431	
200	400,	4,3714e-006	-2,1402	
201	402,	4,3581e-006	-2,2397	
202	404,	4,3458e-006	-2,3416	
203	406,	4,3342e-006	-2,446	
204	408,	4,3236e-006	-2,553	
205	410,	4,3139e-006	-2,6629	
206	412,	4,305e-006	-2,7757	
207	414,	4,2971e-006	-2,8917	
208	416,	4,2901e-006	-3,011	
209	418,	4,2839e-006	-3,1338	
210	420,	4,2788e-006	-3,2602	
211	422,	4,2745e-006	-3,3905	
212	424,	4,2712e-006	-3,5247	
213	426,	4,2689e-006	-3,6631	
214	428,	4,2676e-006	-3,8058	
215	430,	4,2672e-006	-3,9531	
216	432,	4,2679e-006	-4,1051	
217	434,	4,2696e-006	-4,262	
218	436,	4,2724e-006	-4,424	
219	438,	4,2762e-006	-4,5914	
220	440,	4,2811e-006	-4,7645	
221	442,	4,2872e-006	-4,9435	
222	444,	4,2944e-006	-5,1286	
223	446,	4,3028e-006	-5,3202	
224	448,	4,3125e-006	-5,5186	
225	450,	4,3234e-006	-5,7242	
226	452,	4,3356e-006	-5,9372	
227	454,	4,3491e-006	-6,1582	
228	456,	4,364e-006	-6,3874	
229	458,	4,3804e-006	-6,6253	
230	460,	4,3982e-006	-6,8725	
231	462,	4,4176e-006	-7,1293	
232	464,	4,4385e-006	-7,3964	
233	466,	4,4612e-006	-7,6742	
234	468,	4,4855e-006	-7,9635	
235	470,	4,5116e-006	-8,2649	
236	472,	4,5397e-006	-8,5791	
237	474,	4,5696e-006	-8,9068	
238	476,	4,6016e-006	-9,2489	
239	478,	4,6357e-006	-9,6062	
240	480,	4,6721e-006	-9,9798	
241	482,	4,7108e-006	-10,371	
242	484,	4,7519e-006	-10,78	
243	486,	4,7957e-006	-11,209	
244	488,	4,8421e-006	-11,658	
245	490,	4,8914e-006	-12,13	
246	492,	4,9436e-006	-12,626	
247	494,	4,999e-006	-13,148	
248	496,	5,0577e-006	-13,696	
249	498,	5,1199e-006	-14,275	
250	500,	5,1858e-006	-14,885	
251	502,	5,2556e-006	-15,528	
252	504,	5,3295e-006	-16,209	
253	506,	5,4076e-006	-16,929	
254	508,	5,4903e-006	-17,691	
255	510,	5,5778e-006	-18,5	
256	512,	5,6704e-006	-19,358	
257	514,	5,7682e-006	-20,271	
258	516,	5,8715e-006	-21,242	
259	518,	5,9805e-006	-22,276	
260	520,	6,0956e-006	-23,38	
261	522,	6,2168e-006	-24,558	
262	524,	6,3443e-006	-25,818	
263	526,	6,4783e-006	-27,167	
264	528,	6,6188e-006	-28,612	
265	530,	6,7656e-006	-30,161	
266	532,	6,9185e-006	-31,824	
267	534,	7,0771e-006	-33,61	
268	536,	7,2407e-006	-35,529	
269	538,	7,4084e-006	-37,591	
270	540,	7,5787e-006	-39,806	
271	542,	7,7497e-006	-42,183	
272	544,	7,9192e-006	-44,732	
273	546,	8,0842e-006	-47,46	
274	548,	8,2409e-006	-50,372	
275	550,	8,3851e-006	-53,47	
276	552,	8,512e-006	-56,751	
277	554,	8,6165e-006	-60,21	
278	556,	8,693e-006	-63,83	
279	558,	8,7367e-006	-67,594	
280	560,	8,7431e-006	-71,474	
281	562,	8,709e-006	-75,439	
282	564,	8,6329e-006	-79,45	
283	566,	8,5151e-006	-83,468	
284	568,	8,3576e-006	-87,453	
285	570,	8,1642e-006	-91,366	
286	572,	7,9402e-006	-95,174	
287	574,	7,6915e-006	-98,847	
288	576,	7,4244e-006	-102,36	
289	578,	7,145e-006	-105,71	
290	580,	6,8588e-006	-108,87	
291	582,	6,5709e-006	-111,85	
292	584,	6,2853e-006	-114,64	
293	586,	6,0051e-006	-117,25	
294	588,	5,7328e-006	-119,68	
295	590,	5,4701e-006	-121,95	
296	592,	5,2182e-006	-124,06	
297	594,	4,9777e-006	-126,03	
298	596,	4,749e-006	-127,85	
299	598,	4,5319e-006	-129,56	
300	600,	4,3265e-006	-131,14	
301	602,	4,1323e-006	-132,62	
302	604,	3,9488e-006	-134,	
303	606,	3,7757e-006	-135,28	
304	608,	3,6124e-006	-136,48	
305	610,	3,4583e-006	-137,61	
306	612,	3,3129e-006	-138,66	
307	614,	3,1757e-006	-139,65	
308	616,	3,0461e-006	-140,58	
309	618,	2,9237e-006	-141,45	
310	620,	2,8081e-006	-142,27	
311	622,	2,6987e-006	-143,04	
312	624,	2,5952e-006	-143,77	
313	626,	2,4971e-006	-144,46	
314	628,	2,4042e-006	-145,11	
315	630,	2,3161e-006	-145,72	
316	632,	2,2325e-006	-146,31	
317	634,	2,1531e-006	-146,86	
318	636,	2,0776e-006	-147,38	
319	638,	2,0058e-006	-147,88	
320	640,	1,9375e-006	-148,36	
321	642,	1,8724e-006	-148,81	
322	644,	1,8103e-006	-149,24	
323	646,	1,7512e-006	-149,64	
324	648,	1,6947e-006	-150,03	
325	650,	1,6407e-006	-150,41	
326	652,	1,5892e-006	-150,76	
327	654,	1,5399e-006	-151,1	
328	656,	1,4927e-006	-151,43	
329	658,	1,4475e-006	-151,74	
330	660,	1,4042e-006	-152,04	
331	662,	1,3627e-006	-152,33	
332	664,	1,323e-006	-152,6	
333	666,	1,2848e-006	-152,86	
334	668,	1,2481e-006	-153,12	
335	670,	1,2129e-006	-153,36	
336	672,	1,1791e-006	-153,6	
337	674,	1,1465e-006	-153,82	
338	676,	1,1152e-006	-154,04	
339	678,	1,0851e-006	-154,25	
340	680,	1,0561e-006	-154,45	
341	682,	1,0282e-006	-154,65	
342	684,	1,0013e-006	-154,83	
343	686,	9,7532e-007	-155,02	
344	688,	9,5029e-007	-155,19	
345	690,	9,2615e-007	-155,36	
346	692,	9,0285e-007	-155,53	
347	694,	8,8035e-007	-155,69	
348	696,	8,5862e-007	-155,84	
349	698,	8,3762e-007	-155,99	
350	700,	8,1733e-007	-156,13	
351	702,	7,9771e-007	-156,28	
352	704,	7,7874e-007	-156,41	
353	706,	7,6038e-007	-156,55	
354	708,	7,4262e-007	-156,67	
355	710,	7,2543e-007	-156,8	
356	712,	7,0878e-007	-156,92	
357	714,	6,9266e-007	-157,04	
358	716,	6,7704e-007	-157,16	
359	718,	6,619e-007	-157,27	
360	720,	6,4723e-007	-157,39	
361	722,	6,3301e-007	-157,49	
362	724,	6,1921e-007	-157,6	
363	726,	6,0583e-007	-157,71	
364	728,	5,9285e-007	-157,81	
365	730,	5,8025e-007	-157,91	
366	732,	5,6803e-007	-158,01	
367	734,	5,5615e-007	-158,1	
368	736,	5,4463e-007	-158,2	
369	738,	5,3343e-007	-158,29	
370	740,	5,2255e-007	-158,38	
371	742,	5,1198e-007	-158,47	
372	744,	5,0171e-007	-158,56	
373	746,	4,9173e-007	-158,65	
374	748,	4,8203e-007	-158,74	
375	750,	4,7259e-007	-158,83	
376	752,	4,6342e-007	-158,91	
377	754,	4,5449e-007	-159,	
378	756,	4,4581e-007	-159,08	
379	758,	4,3736e-007	-159,17	
380	760,	4,2914e-007	-159,25	
381	762,	4,2114e-007	-159,33	
382	764,	4,1335e-007	-159,41	
383	766,	4,0577e-007	-159,5	
384	768,	3,9839e-007	-159,58	
385	770,	3,9121e-007	-159,66	
386	772,	3,8421e-007	-159,74	
387	774,	3,7739e-007	-159,82	
388	776,	3,7075e-007	-159,91	
389	778,	3,6428e-007	-159,99	
390	780,	3,5798e-007	-160,07	
391	782,	3,5184e-007	-160,15	
392	784,	3,4585e-007	-160,24	
393	786,	3,4002e-007	-160,32	
394	788,	3,3433e-007	-160,4	
395	790,	3,2879e-007	-160,49	
396	792,	3,2339e-007	-160,57	
397	794,	3,1812e-007	-160,66	
398	796,	3,1299e-007	-160,74	
399	798,	3,0798e-007	-160,83	
400	800,	3,0309e-007	-160,92	
401	802,	2,9833e-007	-161,	
402	804,	2,9369e-007	-161,09	
403	806,	2,8916e-007	-161,18	
404	808,	2,8474e-007	-161,27	
405	810,	2,8042e-007	-161,37	
406	812,	2,7622e-007	-161,46	
407	814,	2,7212e-007	-161,55	
408	816,	2,6811e-007	-161,65	
409	818,	2,6421e-007	-161,75	
410	820,	2,604e-007	-161,84	
411	822,	2,5668e-007	-161,94	
412	824,	2,5305e-007	-162,04	
413	826,	2,4951e-007	-162,14	
414	828,	2,4606e-007	-162,25	
415	830,	2,4269e-007	-162,35	
416	832,	2,394e-007	-162,46	
417	834,	2,3619e-007	-162,56	
418	836,	2,3306e-007	-162,67	
419	838,	2,3001e-007	-162,78	
420	840,	2,2703e-007	-162,9	
421	842,	2,2412e-007	-163,01	
422	844,	2,2128e-007	-163,13	
423	846,	2,1851e-007	-163,24	
424	848,	2,1581e-007	-163,36	
425	850,	2,1317e-007	-163,48	
426	852,	2,106e-007	-163,6	
427	854,	2,0809e-007	-163,73	
428	856,	2,0564e-007	-163,85	
429	858,	2,0325e-007	-163,98	
430	860,	2,0092e-007	-164,11	
431	862,	1,9865e-007	-164,24	
432	864,	1,9643e-007	-164,37	
433	866,	1,9427e-007	-164,51	
434	868,	1,9216e-007	-164,64	
435	870,	1,9011e-007	-164,78	
436	872,	1,881e-007	-164,92	
437	874,	1,8615e-007	-165,07	
438	876,	1,8425e-007	-165,21	
439	878,	1,8239e-007	-165,35	
440	880,	1,8058e-007	-165,5	
441	882,	1,7882e-007	-165,65	
442	884,	1,771e-007	-165,8	
443	886,	1,7543e-007	-165,96	
444	888,	1,738e-007	-166,11	
445	890,	1,7222e-007	-166,27	
446	892,	1,7067e-007	-166,43	
447	894,	1,6917e-007	-166,59	
448	896,	1,6771e-007	-166,75	
449	898,	1,6629e-007	-166,92	
450	900,	1,649e-007	-167,08	
451	902,	1,6356e-007	-167,25	
452	904,	1,6225e-007	-167,42	
453	906,	1,6098e-007	-167,59	
454	908,	1,5974e-007	-167,77	
455	910,	1,5854e-007	-167,94	
456	912,	1,5738e-007	-168,12	
457	914,	1,5625e-007	-168,3	
458	916,	1,5515e-007	-168,48	
459	918,	1,5408e-007	-168,66	
460	920,	1,5305e-007	-168,84	
461	922,	1,5205e-007	-169,03	
462	924,	1,5108e-007	-169,21	
463	926,	1,5015e-007	-169,4	
464	928,	1,4924e-007	-169,59	
465	930,	1,4836e-007	-169,78	
466	932,	1,4751e-007	-169,97	
467	934,	1,4669e-007	-170,17	
468	936,	1,459e-007	-170,36	
469	938,	1,4514e-007	-170,56	
470	940,	1,444e-007	-170,75	
471	942,	1,437e-007	-170,95	
472	944,	1,4301e-007	-171,15	
473	946,	1,4236e-007	-171,35	
474	948,	1,4173e-007	-171,55	
475	950,	1,4113e-007	-171,76	
476	952,	1,4055e-007	-171,96	
477	954,	1,4e-007	-172,16	
478	956,	1,3947e-007	-172,37	
479	958,	1,3896e-007	-172,58	
480	960,	1,3848e-007	-172,78	
481	962,	1,3802e-007	-172,99	
482	964,	1,3759e-007	-173,2	
483	966,	1,3718e-007	-173,41	
484	968,	1,3679e-007	-173,62	
485	970,	1,3643e-007	-173,83	
486	972,	1,3608e-007	-174,04	
487	974,	1,3576e-007	-174,25	
488	976,	1,3546e-007	-174,46	
489	978,	1,3518e-007	-174,67	
490	980,	1,3492e-007	-174,89	
491	982,	1,3469e-007	-175,1	
492	984,	1,3447e-007	-175,31	
493	986,	1,3427e-007	-175,52	
494	988,	1,341e-007	-175,74	
495	990,	1,3394e-007	-175,95	
496	992,	1,3381e-007	-176,17	
497	994,	1,3369e-007	-176,38	
498	996,	1,3359e-007	-176,59	
499	998,	1,3351e-007	-176,81	
500	1000,	1,3345e-007	-177,02	
