	Frequency [Hz]	Amplitude [m]	Phase Angle [°]	
1	2,	4,3469e-005	179,88	
2	4,	4,3525e-005	179,76	
3	6,	4,3618e-005	179,64	
4	8,	4,3749e-005	179,52	
5	10,	4,3919e-005	179,4	
6	12,	4,4128e-005	179,27	
7	14,	4,4378e-005	179,15	
8	16,	4,4669e-005	179,02	
9	18,	4,5004e-005	178,89	
10	20,	4,5385e-005	178,76	
11	22,	4,5812e-005	178,62	
12	24,	4,629e-005	178,48	
13	26,	4,682e-005	178,33	
14	28,	4,7407e-005	178,18	
15	30,	4,8053e-005	178,03	
16	32,	4,8762e-005	177,86	
17	34,	4,9541e-005	177,69	
18	36,	5,0393e-005	177,52	
19	38,	5,1327e-005	177,33	
20	40,	5,2348e-005	177,14	
21	42,	5,3465e-005	176,93	
22	44,	5,4688e-005	176,71	
23	46,	5,6027e-005	176,48	
24	48,	5,7497e-005	176,23	
25	50,	5,9112e-005	175,97	
26	52,	6,0889e-005	175,68	
27	54,	6,285e-005	175,38	
28	56,	6,5021e-005	175,04	
29	58,	6,743e-005	174,68	
30	60,	7,0115e-005	174,28	
31	62,	7,3119e-005	173,84	
32	64,	7,6497e-005	173,35	
33	66,	8,0316e-005	172,8	
34	68,	8,4662e-005	172,19	
35	70,	8,9641e-005	171,49	
36	72,	9,5393e-005	170,68	
37	74,	1,021e-004	169,75	
38	76,	1,1001e-004	168,66	
39	78,	1,1944e-004	167,35	
40	80,	1,3087e-004	165,77	
41	82,	1,4494e-004	163,82	
42	84,	1,6259e-004	161,34	
43	86,	1,8523e-004	158,12	
44	88,	2,1489e-004	153,78	
45	90,	2,5449e-004	147,69	
46	92,	3,0718e-004	138,81	
47	94,	3,7216e-004	125,5	
48	96,	4,302e-004	106,32	
49	98,	4,3665e-004	83,186	
50	100,	3,8229e-004	62,339	
51	102,	3,1164e-004	47,336	
52	104,	2,5232e-004	37,306	
53	106,	2,0772e-004	30,511	
54	108,	1,7459e-004	25,724	
55	110,	1,4957e-004	22,214	
56	112,	1,3023e-004	19,545	
57	114,	1,1493e-004	17,456	
58	116,	1,0258e-004	15,779	
59	118,	9,2433e-005	14,404	
60	120,	8,3962e-005	13,257	
61	122,	7,6794e-005	12,287	
62	124,	7,0657e-005	11,454	
63	126,	6,535e-005	10,732	
64	128,	6,0717e-005	10,1	
65	130,	5,6641e-005	9,5418	
66	132,	5,303e-005	9,045	
67	134,	4,981e-005	8,5999	
68	136,	4,6921e-005	8,1986	
69	138,	4,4317e-005	7,8348	
70	140,	4,1959e-005	7,5034	
71	142,	3,9814e-005	7,2001	
72	144,	3,7854e-005	6,9213	
73	146,	3,6059e-005	6,6641	
74	148,	3,4408e-005	6,4259	
75	150,	3,2885e-005	6,2046	
76	152,	3,1476e-005	5,9984	
77	154,	3,017e-005	5,8057	
78	156,	2,8956e-005	5,6251	
79	158,	2,7824e-005	5,4554	
80	160,	2,6767e-005	5,2956	
81	162,	2,5778e-005	5,1448	
82	164,	2,4852e-005	5,0021	
83	166,	2,3981e-005	4,8669	
84	168,	2,3162e-005	4,7385	
85	170,	2,2391e-005	4,6164	
86	172,	2,1663e-005	4,5	
87	174,	2,0976e-005	4,389	
88	176,	2,0325e-005	4,2828	
89	178,	1,9708e-005	4,1811	
90	180,	1,9124e-005	4,0836	
91	182,	1,8569e-005	3,9901	
92	184,	1,8041e-005	3,9001	
93	186,	1,7539e-005	3,8134	
94	188,	1,706e-005	3,7299	
95	190,	1,6604e-005	3,6493	
96	192,	1,6169e-005	3,5715	
97	194,	1,5753e-005	3,4961	
98	196,	1,5356e-005	3,4232	
99	198,	1,4975e-005	3,3525	
100	200,	1,4611e-005	3,2838	
101	202,	1,4262e-005	3,2172	
102	204,	1,3928e-005	3,1523	
103	206,	1,3607e-005	3,0892	
104	208,	1,3299e-005	3,0277	
105	210,	1,3003e-005	2,9678	
106	212,	1,2718e-005	2,9092	
107	214,	1,2444e-005	2,852	
108	216,	1,2181e-005	2,7961	
109	218,	1,1927e-005	2,7414	
110	220,	1,1683e-005	2,6877	
111	222,	1,1447e-005	2,6352	
112	224,	1,122e-005	2,5836	
113	226,	1,1e-005	2,5329	
114	228,	1,0789e-005	2,4831	
115	230,	1,0584e-005	2,4342	
116	232,	1,0387e-005	2,386	
117	234,	1,0196e-005	2,3385	
118	236,	1,0011e-005	2,2917	
119	238,	9,833e-006	2,2455	
120	240,	9,6603e-006	2,1999	
121	242,	9,493e-006	2,1548	
122	244,	9,3311e-006	2,1103	
123	246,	9,1743e-006	2,0662	
124	248,	9,0224e-006	2,0226	
125	250,	8,8751e-006	1,9793	
126	252,	8,7323e-006	1,9364	
