	Frequency [Hz]	Amplitude [m]	Phase Angle [°]	
1	2,	4,3469e-005	179,98	
2	4,	4,3525e-005	179,95	
3	6,	4,3619e-005	179,93	
4	8,	4,3751e-005	179,9	
5	10,	4,3921e-005	179,88	
6	12,	4,4132e-005	179,85	
7	14,	4,4382e-005	179,83	
8	16,	4,4676e-005	179,8	
9	18,	4,5012e-005	179,78	
10	20,	4,5395e-005	179,75	
11	22,	4,5825e-005	179,72	
12	24,	4,6305e-005	179,7	
13	26,	4,6839e-005	179,67	
14	28,	4,7429e-005	179,64	
15	30,	4,8079e-005	179,61	
16	32,	4,8794e-005	179,57	
17	34,	4,9578e-005	179,54	
18	36,	5,0438e-005	179,5	
19	38,	5,1379e-005	179,47	
20	40,	5,2409e-005	179,43	
21	42,	5,3537e-005	179,39	
22	44,	5,4772e-005	179,34	
23	46,	5,6127e-005	179,3	
24	48,	5,7614e-005	179,25	
25	50,	5,925e-005	179,19	
26	52,	6,1052e-005	179,14	
27	54,	6,3044e-005	179,07	
28	56,	6,5251e-005	179,01	
29	58,	6,7706e-005	178,93	
30	60,	7,0446e-005	178,85	
31	62,	7,352e-005	178,76	
32	64,	7,6987e-005	178,66	
33	66,	8,0919e-005	178,55	
34	68,	8,5412e-005	178,43	
35	70,	9,0585e-005	178,29	
36	72,	9,66e-005	178,12	
37	74,	1,0367e-004	177,93	
38	76,	1,1208e-004	177,7	
39	78,	1,2226e-004	177,43	
40	80,	1,348e-004	177,1	
41	82,	1,5061e-004	176,68	
42	84,	1,7114e-004	176,14	
43	86,	1,9885e-004	175,41	
44	88,	2,3822e-004	174,38	
45	90,	2,9844e-004	172,8	
46	92,	4,0155e-004	170,09	
47	94,	6,1576e-004	164,37	
48	96,	1,2592e-003	145,82	
49	98,	1,8948e-003	59,511	
50	100,	7,7168e-004	20,951	
51	102,	4,5027e-004	12,268	
52	104,	3,1406e-004	8,6771	
53	106,	2,3973e-004	6,7296	
54	108,	1,931e-004	5,5092	
55	110,	1,6117e-004	4,6731	
56	112,	1,3795e-004	4,0643	
57	114,	1,2033e-004	3,6011	
58	116,	1,065e-004	3,2366	
59	118,	9,5368e-005	2,9422	
60	120,	8,6217e-005	2,6993	
61	122,	7,8565e-005	2,4954	
62	124,	7,2074e-005	2,3217	
63	126,	6,6502e-005	2,1719	
64	128,	6,1666e-005	2,0413	
65	130,	5,7433e-005	1,9263	
66	132,	5,3698e-005	1,8244	
67	134,	5,0378e-005	1,7332	
68	136,	4,741e-005	1,6512	
69	138,	4,474e-005	1,577	
70	140,	4,2327e-005	1,5096	
71	142,	4,0137e-005	1,4479	
72	144,	3,8139e-005	1,3913	
73	146,	3,6312e-005	1,3391	
74	148,	3,4633e-005	1,2909	
75	150,	3,3087e-005	1,2461	
76	152,	3,1658e-005	1,2043	
77	154,	3,0334e-005	1,1654	
78	156,	2,9104e-005	1,1289	
79	158,	2,7959e-005	1,0946	
80	160,	2,689e-005	1,0624	
81	162,	2,5891e-005	1,032	
82	164,	2,4955e-005	1,0032	
83	166,	2,4076e-005	0,97595	
84	168,	2,325e-005	0,95009	
85	170,	2,2472e-005	0,9255	
86	172,	2,1739e-005	0,90207	
87	174,	2,1046e-005	0,87972	
88	176,	2,039e-005	0,85836	
89	178,	1,9769e-005	0,83791	
90	180,	1,9181e-005	0,8183	
91	182,	1,8622e-005	0,79949	
92	184,	1,8091e-005	0,7814	
93	186,	1,7586e-005	0,76399	
94	188,	1,7105e-005	0,74721	
95	190,	1,6646e-005	0,73101	
96	192,	1,6208e-005	0,71537	
97	194,	1,5791e-005	0,70024	
98	196,	1,5391e-005	0,68559	
99	198,	1,5009e-005	0,67139	
100	200,	1,4643e-005	0,65762	
101	202,	1,4293e-005	0,64423	
102	204,	1,3957e-005	0,63122	
103	206,	1,3635e-005	0,61855	
104	208,	1,3325e-005	0,60621	
105	210,	1,3028e-005	0,59418	
106	212,	1,2742e-005	0,58243	
107	214,	1,2468e-005	0,57095	
108	216,	1,2203e-005	0,55973	
109	218,	1,1949e-005	0,54875	
110	220,	1,1704e-005	0,53799	
111	222,	1,1467e-005	0,52745	
112	224,	1,1239e-005	0,5171	
113	226,	1,1019e-005	0,50694	
114	228,	1,0807e-005	0,49695	
115	230,	1,0602e-005	0,48713	
116	232,	1,0404e-005	0,47746	
117	234,	1,0213e-005	0,46794	
118	236,	1,0028e-005	0,45855	
119	238,	9,8489e-006	0,44929	
120	240,	9,6758e-006	0,44014	
121	242,	9,5082e-006	0,4311	
122	244,	9,346e-006	0,42217	
123	246,	9,1888e-006	0,41333	
124	248,	9,0366e-006	0,40457	
125	250,	8,889e-006	0,3959	
126	252,	8,746e-006	0,38729	
127	254,	8,6073e-006	0,37876	
128	256,	8,4727e-006	0,37028	
129	258,	8,3421e-006	0,36186	
130	260,	8,2154e-006	0,35348	
131	262,	8,0924e-006	0,34515	
132	264,	7,9729e-006	0,33686	
133	266,	7,8569e-006	0,32859	
134	268,	7,7442e-006	0,32036	
135	270,	7,6347e-006	0,31214	
136	272,	7,5283e-006	0,30394	
137	274,	7,4248e-006	0,29574	
138	276,	7,3243e-006	0,28756	
139	278,	7,2265e-006	0,27937	
140	280,	7,1314e-006	0,27118	
141	282,	7,0389e-006	0,26298	
142	284,	6,9489e-006	0,25477	
143	286,	6,8613e-006	0,24654	
144	288,	6,7761e-006	0,23828	
145	290,	6,6931e-006	0,23	
146	292,	6,6124e-006	0,22168	
147	294,	6,5339e-006	0,21333	
148	296,	6,4574e-006	0,20493	
149	298,	6,3829e-006	0,19649	
150	300,	6,3104e-006	0,188	
151	302,	6,2398e-006	0,17944	
152	304,	6,171e-006	0,17083	
153	306,	6,104e-006	0,16216	
154	308,	6,0388e-006	0,15341	
155	310,	5,9753e-006	0,14459	
156	312,	5,9135e-006	0,13568	
157	314,	5,8532e-006	0,12669	
158	316,	5,7946e-006	0,11761	
159	318,	5,7374e-006	0,10844	
160	320,	5,6818e-006	9,916e-002	
161	322,	5,6276e-006	8,9778e-002	
162	324,	5,5749e-006	8,0283e-002	
163	326,	5,5235e-006	7,0671e-002	
164	328,	5,4735e-006	6,0936e-002	
165	330,	5,4248e-006	5,1072e-002	
166	332,	5,3775e-006	4,1074e-002	
167	334,	5,3313e-006	3,0934e-002	
168	336,	5,2865e-006	2,0647e-002	
169	338,	5,2429e-006	1,0207e-002	
170	340,	5,2004e-006	-3,9424e-004	
171	342,	5,1591e-006	-1,1162e-002	
172	344,	5,119e-006	-2,2104e-002	
173	346,	5,08e-006	-3,3228e-002	
174	348,	5,0421e-006	-4,454e-002	
175	350,	5,0054e-006	-5,605e-002	
176	352,	4,9696e-006	-6,7764e-002	
177	354,	4,935e-006	-7,9692e-002	
178	356,	4,9014e-006	-9,1842e-002	
179	358,	4,8688e-006	-0,10422	
180	360,	4,8372e-006	-0,11684	
181	362,	4,8066e-006	-0,12972	
182	364,	4,777e-006	-0,14285	
183	366,	4,7484e-006	-0,15626	
184	368,	4,7207e-006	-0,16995	
185	370,	4,694e-006	-0,18395	
186	372,	4,6682e-006	-0,19825	
187	374,	4,6434e-006	-0,21289	
188	376,	4,6195e-006	-0,22787	
189	378,	4,5965e-006	-0,24323	
190	380,	4,5745e-006	-0,25898	
191	382,	4,5534e-006	-0,27517	
192	384,	4,5332e-006	-0,29183	
193	386,	4,5139e-006	-0,30903	
194	388,	4,4955e-006	-0,32688	
195	390,	4,4781e-006	-0,34552	
196	392,	4,4616e-006	-0,36524	
197	394,	4,446e-006	-0,38654	
198	396,	4,4314e-006	-0,41045	
199	398,	4,4176e-006	-0,43884	
200	400,	4,4043e-006	-0,47361	
201	402,	4,3909e-006	-0,50838	
202	404,	4,3777e-006	-0,5254	
203	406,	4,3666e-006	-0,53045	
204	408,	4,3572e-006	-0,53974	
205	410,	4,349e-006	-0,55502	
206	412,	4,3417e-006	-0,57409	
207	414,	4,3353e-006	-0,59551	
208	416,	4,3299e-006	-0,61856	
209	418,	4,3254e-006	-0,64288	
210	420,	4,3219e-006	-0,66828	
211	422,	4,3194e-006	-0,6947	
212	424,	4,318e-006	-0,72209	
213	426,	4,3175e-006	-0,75045	
214	428,	4,3182e-006	-0,7798	
215	430,	4,3199e-006	-0,81015	
216	432,	4,3227e-006	-0,84155	
217	434,	4,3267e-006	-0,87403	
218	436,	4,3319e-006	-0,90763	
219	438,	4,3383e-006	-0,94241	
220	440,	4,346e-006	-0,97841	
221	442,	4,3549e-006	-1,0157	
222	444,	4,3652e-006	-1,0543	
223	446,	4,3769e-006	-1,0944	
224	448,	4,39e-006	-1,136	
225	450,	4,4046e-006	-1,1791	
226	452,	4,4207e-006	-1,2239	
227	454,	4,4384e-006	-1,2704	
228	456,	4,4578e-006	-1,3188	
229	458,	4,4789e-006	-1,3691	
230	460,	4,5019e-006	-1,4215	
231	462,	4,5267e-006	-1,476	
232	464,	4,5536e-006	-1,5329	
233	466,	4,5825e-006	-1,5923	
234	468,	4,6137e-006	-1,6542	
235	470,	4,6472e-006	-1,7189	
236	472,	4,6831e-006	-1,7866	
237	474,	4,7216e-006	-1,8574	
238	476,	4,7629e-006	-1,9316	
239	478,	4,8071e-006	-2,0094	
240	480,	4,8543e-006	-2,0911	
241	482,	4,9049e-006	-2,1769	
242	484,	4,959e-006	-2,2672	
243	486,	5,0169e-006	-2,3622	
244	488,	5,0788e-006	-2,4624	
245	490,	5,145e-006	-2,5681	
246	492,	5,2159e-006	-2,6799	
247	494,	5,2918e-006	-2,7983	
248	496,	5,3732e-006	-2,9237	
249	498,	5,4605e-006	-3,0568	
250	500,	5,5542e-006	-3,1985	
251	502,	5,6548e-006	-3,3493	
252	504,	5,7632e-006	-3,5103	
253	506,	5,8799e-006	-3,6825	
254	508,	6,0059e-006	-3,867	
255	510,	6,1421e-006	-4,0652	
256	512,	6,2896e-006	-4,2786	
257	514,	6,4497e-006	-4,509	
258	516,	6,6238e-006	-4,7583	
259	518,	6,8137e-006	-5,0291	
260	520,	7,0214e-006	-5,324	
261	522,	7,2493e-006	-5,6465	
262	524,	7,5001e-006	-6,0004	
263	526,	7,7773e-006	-6,3905	
264	528,	8,0849e-006	-6,8224	
265	530,	8,4278e-006	-7,3031	
266	532,	8,812e-006	-7,8411	
267	534,	9,245e-006	-8,4472	
268	536,	9,7362e-006	-9,1348	
269	538,	1,0297e-005	-9,921	
270	540,	1,0944e-005	-10,828	
271	542,	1,1695e-005	-11,885	
272	544,	1,2577e-005	-13,133	
273	546,	1,3626e-005	-14,624	
274	548,	1,4889e-005	-16,434	
275	550,	1,6432e-005	-18,675	
276	552,	1,8349e-005	-21,508	
277	554,	2,0769e-005	-25,18	
278	556,	2,3867e-005	-30,082	
279	558,	2,7842e-005	-36,827	
280	560,	3,2789e-005	-46,348	
281	562,	3,8218e-005	-59,807	
282	564,	4,215e-005	-77,664	
283	566,	4,1723e-005	-97,728	
284	568,	3,7024e-005	-115,71	
285	570,	3,1029e-005	-129,32	
286	572,	2,571e-005	-138,95	
287	574,	2,1497e-005	-145,77	
288	576,	1,8247e-005	-150,73	
289	578,	1,5724e-005	-154,43	
290	580,	1,3736e-005	-157,29	
291	582,	1,2141e-005	-159,54	
292	584,	1,084e-005	-161,37	
293	586,	9,7619e-006	-162,87	
294	588,	8,856e-006	-164,12	
295	590,	8,0856e-006	-165,18	
296	592,	7,4232e-006	-166,09	
297	594,	6,8483e-006	-166,88	
298	596,	6,3451e-006	-167,57	
299	598,	5,9013e-006	-168,18	
300	600,	5,5072e-006	-168,72	
301	602,	5,1551e-006	-169,2	
302	604,	4,8389e-006	-169,64	
303	606,	4,5535e-006	-170,03	
304	608,	4,2946e-006	-170,38	
305	610,	4,0589e-006	-170,7	
306	612,	3,8435e-006	-171,	
307	614,	3,646e-006	-171,27	
308	616,	3,4642e-006	-171,52	
309	618,	3,2965e-006	-171,75	
310	620,	3,1413e-006	-171,96	
311	622,	2,9973e-006	-172,16	
312	624,	2,8635e-006	-172,34	
313	626,	2,7387e-006	-172,51	
314	628,	2,6222e-006	-172,67	
315	630,	2,5132e-006	-172,82	
316	632,	2,411e-006	-172,96	
317	634,	2,3151e-006	-173,09	
318	636,	2,2248e-006	-173,22	
319	638,	2,1399e-006	-173,34	
320	640,	2,0597e-006	-173,45	
321	642,	1,984e-006	-173,55	
322	644,	1,9124e-006	-173,65	
323	646,	1,8445e-006	-173,74	
324	648,	1,7802e-006	-173,83	
325	650,	1,7192e-006	-173,92	
326	652,	1,6613e-006	-174,	
327	654,	1,6061e-006	-174,07	
328	656,	1,5537e-006	-174,15	
329	658,	1,5037e-006	-174,22	
330	660,	1,456e-006	-174,28	
331	662,	1,4105e-006	-174,35	
