	Frequency [Hz]	Amplitude [m]	Phase Angle [°]	
332	664,	1,367e-006	-174,41	
333	666,	1,3255e-006	-174,47	
334	668,	1,2857e-006	-174,52	
335	670,	1,2477e-006	-174,57	
336	672,	1,2112e-006	-174,63	
337	674,	1,1763e-006	-174,67	
338	676,	1,1428e-006	-174,72	
339	678,	1,1106e-006	-174,77	
340	680,	1,0797e-006	-174,81	
341	682,	1,0501e-006	-174,85	
342	684,	1,0215e-006	-174,89	
343	686,	9,9409e-007	-174,93	
344	688,	9,6769e-007	-174,97	
345	690,	9,4228e-007	-175,01	
346	692,	9,1779e-007	-175,04	
347	694,	8,942e-007	-175,08	
348	696,	8,7146e-007	-175,11	
349	698,	8,4952e-007	-175,14	
350	700,	8,2836e-007	-175,17	
351	702,	8,0793e-007	-175,2	
352	704,	7,882e-007	-175,23	
353	706,	7,6915e-007	-175,26	
354	708,	7,5074e-007	-175,29	
355	710,	7,3294e-007	-175,31	
356	712,	7,1573e-007	-175,34	
357	714,	6,9909e-007	-175,36	
358	716,	6,8298e-007	-175,39	
359	718,	6,6739e-007	-175,41	
360	720,	6,523e-007	-175,44	
361	722,	6,3769e-007	-175,46	
362	724,	6,2353e-007	-175,48	
363	726,	6,0981e-007	-175,5	
364	728,	5,9652e-007	-175,52	
365	730,	5,8363e-007	-175,55	
366	732,	5,7113e-007	-175,57	
367	734,	5,5901e-007	-175,59	
368	736,	5,4725e-007	-175,61	
369	738,	5,3584e-007	-175,63	
370	740,	5,2476e-007	-175,65	
371	742,	5,1401e-007	-175,66	
372	744,	5,0357e-007	-175,68	
373	746,	4,9344e-007	-175,7	
374	748,	4,8359e-007	-175,72	
375	750,	4,7402e-007	-175,74	
376	752,	4,6472e-007	-175,76	
377	754,	4,5569e-007	-175,77	
378	756,	4,4691e-007	-175,79	
379	758,	4,3837e-007	-175,81	
380	760,	4,3007e-007	-175,83	
381	762,	4,2199e-007	-175,84	
382	764,	4,1414e-007	-175,86	
383	766,	4,065e-007	-175,88	
384	768,	3,9907e-007	-175,9	
385	770,	3,9184e-007	-175,91	
386	772,	3,848e-007	-175,93	
387	774,	3,7795e-007	-175,95	
388	776,	3,7128e-007	-175,96	
389	778,	3,6479e-007	-175,98	
390	780,	3,5847e-007	-176,	
391	782,	3,5231e-007	-176,02	
392	784,	3,4632e-007	-176,03	
393	786,	3,4048e-007	-176,05	
394	788,	3,3479e-007	-176,07	
395	790,	3,2925e-007	-176,09	
396	792,	3,2385e-007	-176,1	
397	794,	3,186e-007	-176,12	
398	796,	3,1347e-007	-176,14	
399	798,	3,0848e-007	-176,16	
400	800,	3,0361e-007	-176,18	
401	802,	2,9887e-007	-176,19	
402	804,	2,9425e-007	-176,21	
403	806,	2,8975e-007	-176,23	
404	808,	2,8536e-007	-176,25	
405	810,	2,8107e-007	-176,27	
406	812,	2,769e-007	-176,29	
407	814,	2,7283e-007	-176,31	
408	816,	2,6887e-007	-176,33	
409	818,	2,65e-007	-176,35	
410	820,	2,6123e-007	-176,37	
411	822,	2,5755e-007	-176,39	
412	824,	2,5397e-007	-176,41	
413	826,	2,5047e-007	-176,43	
414	828,	2,4706e-007	-176,45	
415	830,	2,4374e-007	-176,48	
416	832,	2,405e-007	-176,5	
417	834,	2,3734e-007	-176,52	
418	836,	2,3425e-007	-176,54	
419	838,	2,3125e-007	-176,57	
420	840,	2,2831e-007	-176,59	
421	842,	2,2546e-007	-176,61	
422	844,	2,2267e-007	-176,64	
423	846,	2,1995e-007	-176,66	
424	848,	2,173e-007	-176,69	
425	850,	2,1472e-007	-176,71	
426	852,	2,1221e-007	-176,74	
427	854,	2,0975e-007	-176,76	
428	856,	2,0736e-007	-176,79	
429	858,	2,0503e-007	-176,82	
430	860,	2,0275e-007	-176,84	
431	862,	2,0054e-007	-176,87	
432	864,	1,9838e-007	-176,9	
433	866,	1,9628e-007	-176,92	
434	868,	1,9423e-007	-176,95	
435	870,	1,9223e-007	-176,98	
436	872,	1,9029e-007	-177,01	
437	874,	1,8839e-007	-177,04	
438	876,	1,8654e-007	-177,07	
439	878,	1,8475e-007	-177,1	
440	880,	1,83e-007	-177,13	
441	882,	1,8129e-007	-177,16	
442	884,	1,7964e-007	-177,19	
443	886,	1,7802e-007	-177,22	
444	888,	1,7645e-007	-177,26	
445	890,	1,7492e-007	-177,29	
446	892,	1,7344e-007	-177,32	
447	894,	1,7199e-007	-177,35	
448	896,	1,7059e-007	-177,39	
449	898,	1,6922e-007	-177,42	
450	900,	1,679e-007	-177,45	
451	902,	1,6661e-007	-177,49	
452	904,	1,6536e-007	-177,52	
453	906,	1,6414e-007	-177,56	
454	908,	1,6296e-007	-177,59	
455	910,	1,6182e-007	-177,63	
456	912,	1,6071e-007	-177,66	
457	914,	1,5963e-007	-177,7	
458	916,	1,5859e-007	-177,74	
459	918,	1,5758e-007	-177,77	
460	920,	1,566e-007	-177,81	
461	922,	1,5565e-007	-177,85	
462	924,	1,5473e-007	-177,89	
463	926,	1,5385e-007	-177,92	
464	928,	1,5299e-007	-177,96	
465	930,	1,5217e-007	-178,	
466	932,	1,5137e-007	-178,04	
467	934,	1,506e-007	-178,08	
468	936,	1,4986e-007	-178,12	
469	938,	1,4914e-007	-178,16	
470	940,	1,4846e-007	-178,2	
471	942,	1,478e-007	-178,24	
472	944,	1,4716e-007	-178,28	
473	946,	1,4655e-007	-178,32	
474	948,	1,4597e-007	-178,36	
475	950,	1,4541e-007	-178,4	
476	952,	1,4488e-007	-178,44	
477	954,	1,4437e-007	-178,48	
478	956,	1,4389e-007	-178,52	
479	958,	1,4343e-007	-178,56	
480	960,	1,4299e-007	-178,6	
481	962,	1,4258e-007	-178,64	
482	964,	1,4218e-007	-178,68	
483	966,	1,4181e-007	-178,73	
484	968,	1,4147e-007	-178,77	
485	970,	1,4114e-007	-178,81	
486	972,	1,4084e-007	-178,85	
487	974,	1,4055e-007	-178,89	
488	976,	1,4029e-007	-178,94	
489	978,	1,4005e-007	-178,98	
490	980,	1,3983e-007	-179,02	
491	982,	1,3963e-007	-179,06	
492	984,	1,3945e-007	-179,1	
493	986,	1,3929e-007	-179,15	
494	988,	1,3915e-007	-179,19	
495	990,	1,3903e-007	-179,23	
496	992,	1,3893e-007	-179,27	
497	994,	1,3885e-007	-179,31	
498	996,	1,3879e-007	-179,36	
499	998,	1,3874e-007	-179,4	
500	1000,	1,3872e-007	-179,44	
