	Frequency [Hz]	Amplitude [m]	Phase Angle [°]	
178	356,	3,9114e-008	158,08	
179	358,	3,9872e-008	158,16	
180	360,	4,0632e-008	158,23	
181	362,	4,1393e-008	158,29	
182	364,	4,2158e-008	158,33	
183	366,	4,2924e-008	158,36	
184	368,	4,3694e-008	158,38	
185	370,	4,4465e-008	158,38	
186	372,	4,524e-008	158,38	
187	374,	4,6017e-008	158,36	
188	376,	4,6798e-008	158,33	
189	378,	4,7581e-008	158,29	
190	380,	4,8367e-008	158,25	
191	382,	4,9156e-008	158,19	
192	384,	4,9949e-008	158,13	
193	386,	5,0744e-008	158,06	
194	388,	5,1544e-008	157,98	
195	390,	5,2347e-008	157,89	
196	392,	5,3155e-008	157,8	
197	394,	5,3968e-008	157,7	
198	396,	5,4786e-008	157,6	
199	398,	5,5611e-008	157,5	
200	400,	5,6443e-008	157,39	
201	402,	5,7284e-008	157,27	
202	404,	5,8134e-008	157,15	
203	406,	5,8994e-008	157,03	
204	408,	5,9866e-008	156,9	
205	410,	6,0751e-008	156,77	
206	412,	6,165e-008	156,64	
207	414,	6,2563e-008	156,5	
208	416,	6,3492e-008	156,35	
209	418,	6,4437e-008	156,19	
210	420,	6,54e-008	156,03	
211	422,	6,638e-008	155,86	
212	424,	6,7379e-008	155,68	
213	426,	6,8398e-008	155,49	
214	428,	6,9436e-008	155,3	
215	430,	7,0494e-008	155,09	
216	432,	7,1573e-008	154,87	
217	434,	7,2673e-008	154,65	
218	436,	7,3796e-008	154,41	
219	438,	7,4941e-008	154,16	
220	440,	7,6108e-008	153,89	
221	442,	7,73e-008	153,62	
222	444,	7,8516e-008	153,33	
223	446,	7,9757e-008	153,03	
224	448,	8,1024e-008	152,72	
225	450,	8,2317e-008	152,39	
226	452,	8,3637e-008	152,05	
227	454,	8,4985e-008	151,7	
228	456,	8,6362e-008	151,33	
229	458,	8,7769e-008	150,95	
230	460,	8,9206e-008	150,55	
231	462,	9,0675e-008	150,13	
232	464,	9,2176e-008	149,7	
233	466,	9,371e-008	149,25	
234	468,	9,5279e-008	148,79	
235	470,	9,6882e-008	148,3	
236	472,	9,8521e-008	147,8	
237	474,	1,002e-007	147,28	
238	476,	1,0191e-007	146,73	
239	478,	1,0366e-007	146,17	
240	480,	1,0546e-007	145,58	
241	482,	1,0729e-007	144,98	
242	484,	1,0916e-007	144,35	
243	486,	1,1107e-007	143,69	
244	488,	1,1303e-007	143,01	
245	490,	1,1503e-007	142,3	
246	492,	1,1707e-007	141,57	
247	494,	1,1915e-007	140,8	
248	496,	1,2128e-007	140,01	
249	498,	1,2344e-007	139,19	
250	500,	1,2565e-007	138,33	
251	502,	1,279e-007	137,44	
252	504,	1,3019e-007	136,52	
253	506,	1,3251e-007	135,56	
254	508,	1,3487e-007	134,57	
255	510,	1,3726e-007	133,54	
256	512,	1,3968e-007	132,47	
257	514,	1,4213e-007	131,35	
258	516,	1,4459e-007	130,2	
259	518,	1,4707e-007	129,	
260	520,	1,4956e-007	127,77	
261	522,	1,5205e-007	126,48	
262	524,	1,5453e-007	125,15	
263	526,	1,57e-007	123,78	
264	528,	1,5944e-007	122,35	
265	530,	1,6184e-007	120,88	
266	532,	1,6419e-007	119,37	
267	534,	1,6648e-007	117,81	
268	536,	1,687e-007	116,2	
269	538,	1,7083e-007	114,54	
270	540,	1,7285e-007	112,84	
271	542,	1,7474e-007	111,1	
272	544,	1,7651e-007	109,32	
273	546,	1,7812e-007	107,5	
274	548,	1,7956e-007	105,65	
275	550,	1,8082e-007	103,76	
276	552,	1,8188e-007	101,84	
277	554,	1,8274e-007	99,903	
278	556,	1,8338e-007	97,943	
279	558,	1,838e-007	95,967	
280	560,	1,8398e-007	93,98	
281	562,	1,8393e-007	91,987	
282	564,	1,8364e-007	89,993	
283	566,	1,8312e-007	88,004	
284	568,	1,8237e-007	86,025	
285	570,	1,814e-007	84,059	
286	572,	1,8022e-007	82,113	
287	574,	1,7883e-007	80,189	
288	576,	1,7725e-007	78,293	
289	578,	1,755e-007	76,429	
290	580,	1,7358e-007	74,598	
291	582,	1,7153e-007	72,805	
292	584,	1,6934e-007	71,052	
293	586,	1,6705e-007	69,34	
294	588,	1,6465e-007	67,672	
295	590,	1,6218e-007	66,049	
296	592,	1,5964e-007	64,472	
297	594,	1,5705e-007	62,941	
298	596,	1,5443e-007	61,456	
299	598,	1,5177e-007	60,019	
300	600,	1,491e-007	58,627	
301	602,	1,4643e-007	57,281	
302	604,	1,4376e-007	55,981	
303	606,	1,411e-007	54,725	
304	608,	1,3846e-007	53,512	
305	610,	1,3584e-007	52,342	
306	612,	1,3326e-007	51,214	
307	614,	1,3071e-007	50,125	
308	616,	1,2819e-007	49,075	
309	618,	1,2572e-007	48,064	
310	620,	1,2329e-007	47,088	
311	622,	1,2091e-007	46,148	
312	624,	1,1858e-007	45,242	
313	626,	1,1629e-007	44,368	
314	628,	1,1405e-007	43,526	
315	630,	1,1186e-007	42,714	
316	632,	1,0973e-007	41,931	
317	634,	1,0764e-007	41,177	
318	636,	1,056e-007	40,449	
319	638,	1,0361e-007	39,747	
320	640,	1,0166e-007	39,069	
321	642,	9,9769e-008	38,416	
322	644,	9,7921e-008	37,785	
323	646,	9,6118e-008	37,176	
324	648,	9,4361e-008	36,589	
325	650,	9,2648e-008	36,021	
326	652,	9,0978e-008	35,473	
327	654,	8,9349e-008	34,943	
328	656,	8,7762e-008	34,431	
329	658,	8,6214e-008	33,937	
330	660,	8,4705e-008	33,459	
331	662,	8,3234e-008	32,996	
332	664,	8,1799e-008	32,549	
333	666,	8,04e-008	32,117	
334	668,	7,9036e-008	31,698	
335	670,	7,7705e-008	31,293	
336	672,	7,6406e-008	30,902	
337	674,	7,514e-008	30,522	
338	676,	7,3903e-008	30,155	
339	678,	7,2697e-008	29,8	
340	680,	7,1519e-008	29,455	
341	682,	7,0369e-008	29,122	
342	684,	6,9246e-008	28,799	
343	686,	6,815e-008	28,486	
344	688,	6,7079e-008	28,183	
345	690,	6,6032e-008	27,889	
346	692,	6,501e-008	27,604	
347	694,	6,401e-008	27,328	
348	696,	6,3033e-008	27,06	
349	698,	6,2078e-008	26,801	
350	700,	6,1144e-008	26,55	
351	702,	6,0231e-008	26,306	
352	704,	5,9337e-008	26,07	
353	706,	5,8463e-008	25,84	
354	708,	5,7608e-008	25,618	
355	710,	5,677e-008	25,403	
356	712,	5,5951e-008	25,195	
357	714,	5,5148e-008	24,992	
358	716,	5,4362e-008	24,796	
359	718,	5,3592e-008	24,606	
360	720,	5,2838e-008	24,422	
361	722,	5,2099e-008	24,244	
362	724,	5,1375e-008	24,071	
363	726,	5,0665e-008	23,903	
364	728,	4,9969e-008	23,741	
365	730,	4,9286e-008	23,584	
366	732,	4,8617e-008	23,432	
367	734,	4,7961e-008	23,285	
368	736,	4,7317e-008	23,143	
369	738,	4,6685e-008	23,005	
370	740,	4,6065e-008	22,872	
371	742,	4,5456e-008	22,743	
372	744,	4,4859e-008	22,619	
373	746,	4,4272e-008	22,499	
374	748,	4,3696e-008	22,383	
375	750,	4,313e-008	22,271	
376	752,	4,2575e-008	22,164	
377	754,	4,2029e-008	22,06	
378	756,	4,1492e-008	21,96	
379	758,	4,0965e-008	21,864	
380	760,	4,0447e-008	21,771	
381	762,	3,9938e-008	21,682	
382	764,	3,9437e-008	21,597	
383	766,	3,8944e-008	21,516	
384	768,	3,846e-008	21,438	
385	770,	3,7984e-008	21,363	
386	772,	3,7515e-008	21,292	
387	774,	3,7054e-008	21,224	
388	776,	3,6601e-008	21,159	
389	778,	3,6154e-008	21,098	
390	780,	3,5715e-008	21,039	
391	782,	3,5282e-008	20,985	
392	784,	3,4857e-008	20,933	
393	786,	3,4437e-008	20,884	
394	788,	3,4025e-008	20,838	
395	790,	3,3618e-008	20,796	
396	792,	3,3217e-008	20,756	
397	794,	3,2823e-008	20,72	
398	796,	3,2434e-008	20,686	
399	798,	3,2051e-008	20,655	
400	800,	3,1674e-008	20,628	
401	802,	3,1302e-008	20,603	
402	804,	3,0935e-008	20,581	
403	806,	3,0574e-008	20,562	
404	808,	3,0217e-008	20,546	
405	810,	2,9866e-008	20,533	
406	812,	2,9519e-008	20,523	
407	814,	2,9178e-008	20,516	
408	816,	2,8841e-008	20,511	
409	818,	2,8508e-008	20,509	
410	820,	2,818e-008	20,51	
411	822,	2,7857e-008	20,515	
412	824,	2,7538e-008	20,521	
413	826,	2,7222e-008	20,531	
414	828,	2,6912e-008	20,544	
415	830,	2,6605e-008	20,559	
416	832,	2,6302e-008	20,578	
417	834,	2,6003e-008	20,599	
418	836,	2,5707e-008	20,623	
419	838,	2,5416e-008	20,65	
420	840,	2,5128e-008	20,68	
421	842,	2,4844e-008	20,713	
422	844,	2,4563e-008	20,749	
423	846,	2,4286e-008	20,788	
424	848,	2,4012e-008	20,83	
425	850,	2,3741e-008	20,875	
426	852,	2,3474e-008	20,923	
427	854,	2,321e-008	20,974	
428	856,	2,2949e-008	21,029	
429	858,	2,2691e-008	21,086	
430	860,	2,2436e-008	21,147	
431	862,	2,2185e-008	21,21	
432	864,	2,1936e-008	21,277	
433	866,	2,169e-008	21,348	
434	868,	2,1446e-008	21,421	
435	870,	2,1206e-008	21,498	
436	872,	2,0968e-008	21,579	
437	874,	2,0733e-008	21,662	
438	876,	2,0501e-008	21,75	
439	878,	2,0271e-008	21,841	
440	880,	2,0044e-008	21,935	
441	882,	1,9819e-008	22,033	
442	884,	1,9597e-008	22,135	
443	886,	1,9377e-008	22,241	
444	888,	1,916e-008	22,35	
445	890,	1,8944e-008	22,463	
446	892,	1,8732e-008	22,58	
447	894,	1,8521e-008	22,702	
448	896,	1,8313e-008	22,827	
449	898,	1,8107e-008	22,956	
450	900,	1,7903e-008	23,09	
451	902,	1,7702e-008	23,228	
452	904,	1,7502e-008	23,37	
453	906,	1,7305e-008	23,517	
454	908,	1,711e-008	23,669	
455	910,	1,6916e-008	23,824	
456	912,	1,6725e-008	23,985	
457	914,	1,6536e-008	24,151	
458	916,	1,6349e-008	24,321	
459	918,	1,6163e-008	24,497	
460	920,	1,598e-008	24,677	
461	922,	1,5799e-008	24,863	
462	924,	1,5619e-008	25,054	
463	926,	1,5441e-008	25,251	
464	928,	1,5266e-008	25,453	
465	930,	1,5092e-008	25,66	
466	932,	1,4919e-008	25,874	
467	934,	1,4749e-008	26,094	
468	936,	1,458e-008	26,319	
469	938,	1,4414e-008	26,551	
470	940,	1,4248e-008	26,789	
471	942,	1,4085e-008	27,033	
472	944,	1,3924e-008	27,285	
473	946,	1,3764e-008	27,543	
474	948,	1,3605e-008	27,807	
475	950,	1,3449e-008	28,079	
476	952,	1,3294e-008	28,358	
477	954,	1,3141e-008	28,645	
478	956,	1,299e-008	28,939	
479	958,	1,284e-008	29,241	
480	960,	1,2692e-008	29,551	
481	962,	1,2546e-008	29,869	
482	964,	1,2401e-008	30,195	
483	966,	1,2258e-008	30,53	
484	968,	1,2116e-008	30,873	
485	970,	1,1977e-008	31,225	
486	972,	1,1839e-008	31,587	
487	974,	1,1702e-008	31,957	
488	976,	1,1567e-008	32,337	
489	978,	1,1434e-008	32,727	
490	980,	1,1303e-008	33,127	
491	982,	1,1173e-008	33,537	
492	984,	1,1045e-008	33,957	
493	986,	1,0919e-008	34,388	
494	988,	1,0795e-008	34,829	
495	990,	1,0672e-008	35,282	
496	992,	1,0551e-008	35,746	
497	994,	1,0432e-008	36,221	
498	996,	1,0314e-008	36,708	
499	998,	1,0198e-008	37,207	
500	1000,	1,0084e-008	37,718	
