	Frequency [Hz]	Amplitude [Pa]	Phase Angle [°]	
188	376,	11195	-22,948	
189	378,	11700	-22,165	
190	380,	12210	-21,44	
191	382,	12726	-20,765	
192	384,	13249	-20,133	
193	386,	13779	-19,538	
194	388,	14320	-18,977	
195	390,	14872	-18,451	
196	392,	15437	-17,959	
197	394,	16019	-17,507	
198	396,	16618	-17,102	
199	398,	17234	-16,75	
200	400,	17868	-16,46	
201	402,	18515	-16,236	
202	404,	19174	-16,079	
203	406,	19840	-15,984	
204	408,	20508	-15,942	
205	410,	21178	-15,943	
206	412,	21846	-15,976	
207	414,	22514	-16,031	
208	416,	23181	-16,099	
209	418,	23848	-16,175	
210	420,	24519	-16,256	
211	422,	25194	-16,339	
212	424,	25875	-16,424	
213	426,	26563	-16,51	
214	428,	27261	-16,598	
215	430,	27969	-16,688	
216	432,	28689	-16,781	
217	434,	29421	-16,877	
218	436,	30168	-16,978	
219	438,	30929	-17,085	
220	440,	31706	-17,197	
221	442,	32500	-17,316	
222	444,	33312	-17,441	
223	446,	34144	-17,574	
224	448,	34995	-17,715	
225	450,	35867	-17,865	
226	452,	36762	-18,024	
227	454,	37681	-18,192	
228	456,	38624	-18,371	
229	458,	39594	-18,559	
230	460,	40591	-18,759	
231	462,	41618	-18,97	
232	464,	42675	-19,193	
233	466,	43765	-19,429	
234	468,	44889	-19,678	
235	470,	46050	-19,941	
236	472,	47249	-20,218	
237	474,	48488	-20,51	
238	476,	49771	-20,819	
239	478,	51099	-21,145	
240	480,	52475	-21,488	
241	482,	53902	-21,85	
242	484,	55383	-22,232	
243	486,	56922	-22,635	
244	488,	58522	-23,061	
245	490,	60187	-23,51	
246	492,	61921	-23,984	
247	494,	63728	-24,486	
248	496,	65613	-25,016	
249	498,	67581	-25,577	
250	500,	69637	-26,171	
251	502,	71788	-26,8	
252	504,	74039	-27,466	
253	506,	76397	-28,174	
254	508,	78869	-28,925	
255	510,	81462	-29,723	
256	512,	84183	-30,573	
257	514,	87042	-31,477	
258	516,	90046	-32,441	
259	518,	93203	-33,469	
260	520,	96523	-34,567	
261	522,	1,0001e+005	-35,741	
262	524,	1,0368e+005	-36,998	
263	526,	1,0754e+005	-38,344	
264	528,	1,1159e+005	-39,788	
265	530,	1,1584e+005	-41,337	
266	532,	1,2029e+005	-43,	
267	534,	1,2493e+005	-44,787	
268	536,	1,2977e+005	-46,707	
269	538,	1,3479e+005	-48,772	
270	540,	1,3996e+005	-50,99	
271	542,	1,4526e+005	-53,371	
272	544,	1,5065e+005	-55,925	
273	546,	1,5606e+005	-58,658	
274	548,	1,6142e+005	-61,576	
275	550,	1,6664e+005	-64,681	
276	552,	1,7163e+005	-67,97	
277	554,	1,7624e+005	-71,436	
278	556,	1,8036e+005	-75,066	
279	558,	1,8386e+005	-78,839	
280	560,	1,866e+005	-82,729	
281	562,	1,885e+005	-86,704	
282	564,	1,8948e+005	-90,726	
283	566,	1,8951e+005	-94,755	
284	568,	1,8859e+005	-98,752	
285	570,	1,8678e+005	-102,68	
286	572,	1,8415e+005	-106,5	
287	574,	1,8082e+005	-110,19	
288	576,	1,7692e+005	-113,72	
289	578,	1,7257e+005	-117,07	
290	580,	1,6789e+005	-120,25	
291	582,	1,6301e+005	-123,24	
292	584,	1,58e+005	-126,05	
293	586,	1,5296e+005	-128,67	
294	588,	1,4796e+005	-131,13	
295	590,	1,4304e+005	-133,41	
296	592,	1,3824e+005	-135,54	
297	594,	1,3359e+005	-137,52	
298	596,	1,291e+005	-139,37	
299	598,	1,2479e+005	-141,09	
300	600,	1,2067e+005	-142,69	
301	602,	1,1672e+005	-144,19	
302	604,	1,1296e+005	-145,59	
303	606,	1,0938e+005	-146,89	
304	608,	1,0597e+005	-148,11	
305	610,	1,0272e+005	-149,26	
306	612,	99637	-150,33	
307	614,	96700	-151,34	
308	616,	93905	-152,29	
309	618,	91245	-153,18	
310	620,	88712	-154,02	
311	622,	86300	-154,82	
312	624,	84000	-155,57	
313	626,	81808	-156,28	
314	628,	79715	-156,95	
315	630,	77717	-157,59	
316	632,	75808	-158,19	
317	634,	73983	-158,77	
318	636,	72237	-159,31	
319	638,	70565	-159,83	
320	640,	68962	-160,33	
321	642,	67426	-160,8	
322	644,	65952	-161,25	
323	646,	64537	-161,69	
324	648,	63178	-162,1	
325	650,	61871	-162,49	
326	652,	60614	-162,87	
327	654,	59403	-163,23	
328	656,	58238	-163,58	
329	658,	57114	-163,92	
330	660,	56031	-164,24	
331	662,	54985	-164,55	
332	664,	53976	-164,84	
333	666,	53001	-165,13	
334	668,	52059	-165,41	
335	670,	51148	-165,67	
336	672,	50266	-165,93	
337	674,	49413	-166,17	
338	676,	48586	-166,41	
339	678,	47785	-166,64	
340	680,	47009	-166,87	
341	682,	46256	-167,08	
342	684,	45525	-167,29	
343	686,	44816	-167,49	
344	688,	44128	-167,69	
345	690,	43459	-167,88	
346	692,	42809	-168,06	
347	694,	42176	-168,24	
348	696,	41562	-168,41	
349	698,	40963	-168,58	
350	700,	40381	-168,74	
351	702,	39814	-168,9	
352	704,	39262	-169,05	
353	706,	38724	-169,2	
354	708,	38199	-169,35	
355	710,	37688	-169,49	
356	712,	37189	-169,62	
357	714,	36702	-169,76	
358	716,	36227	-169,89	
359	718,	35764	-170,02	
360	720,	35311	-170,14	
361	722,	34869	-170,26	
362	724,	34437	-170,38	
363	726,	34014	-170,49	
364	728,	33602	-170,6	
365	730,	33198	-170,71	
366	732,	32803	-170,82	
367	734,	32417	-170,92	
368	736,	32039	-171,02	
369	738,	31669	-171,12	
370	740,	31307	-171,22	
371	742,	30953	-171,31	
372	744,	30605	-171,4	
373	746,	30265	-171,5	
374	748,	29932	-171,58	
375	750,	29605	-171,67	
376	752,	29285	-171,75	
377	754,	28971	-171,84	
378	756,	28663	-171,92	
379	758,	28361	-172,	
380	760,	28064	-172,07	
381	762,	27774	-172,15	
382	764,	27488	-172,22	
383	766,	27208	-172,3	
384	768,	26933	-172,37	
385	770,	26663	-172,44	
386	772,	26398	-172,51	
387	774,	26138	-172,57	
388	776,	25882	-172,64	
389	778,	25630	-172,7	
390	780,	25383	-172,77	
391	782,	25141	-172,83	
392	784,	24902	-172,89	
393	786,	24667	-172,95	
394	788,	24436	-173,01	
395	790,	24209	-173,07	
396	792,	23986	-173,12	
397	794,	23767	-173,18	
398	796,	23551	-173,23	
399	798,	23338	-173,29	
400	800,	23129	-173,34	
401	802,	22923	-173,39	
402	804,	22720	-173,44	
403	806,	22520	-173,49	
404	808,	22324	-173,54	
405	810,	22130	-173,59	
406	812,	21940	-173,64	
407	814,	21752	-173,68	
408	816,	21567	-173,73	
409	818,	21385	-173,78	
410	820,	21205	-173,82	
411	822,	21029	-173,86	
412	824,	20854	-173,91	
413	826,	20682	-173,95	
414	828,	20513	-173,99	
415	830,	20346	-174,03	
416	832,	20181	-174,07	
417	834,	20019	-174,11	
418	836,	19859	-174,15	
419	838,	19701	-174,19	
420	840,	19545	-174,23	
421	842,	19391	-174,26	
422	844,	19240	-174,3	
423	846,	19090	-174,34	
424	848,	18943	-174,37	
425	850,	18797	-174,41	
426	852,	18653	-174,44	
427	854,	18512	-174,47	
428	856,	18372	-174,51	
429	858,	18233	-174,54	
430	860,	18097	-174,57	
431	862,	17962	-174,6	
432	864,	17829	-174,64	
433	866,	17698	-174,67	
434	868,	17568	-174,7	
435	870,	17440	-174,73	
436	872,	17313	-174,76	
437	874,	17188	-174,79	
438	876,	17065	-174,82	
439	878,	16943	-174,84	
440	880,	16822	-174,87	
441	882,	16703	-174,9	
442	884,	16586	-174,93	
443	886,	16469	-174,95	
444	888,	16354	-174,98	
445	890,	16241	-175,01	
446	892,	16128	-175,03	
447	894,	16017	-175,06	
448	896,	15908	-175,08	
449	898,	15799	-175,11	
450	900,	15692	-175,13	
451	902,	15586	-175,16	
452	904,	15481	-175,18	
453	906,	15377	-175,2	
454	908,	15275	-175,23	
455	910,	15173	-175,25	
456	912,	15073	-175,27	
457	914,	14974	-175,29	
458	916,	14875	-175,32	
459	918,	14778	-175,34	
460	920,	14682	-175,36	
461	922,	14587	-175,38	
462	924,	14493	-175,4	
463	926,	14400	-175,42	
464	928,	14308	-175,44	
465	930,	14217	-175,46	
466	932,	14126	-175,48	
467	934,	14037	-175,5	
468	936,	13949	-175,52	
469	938,	13861	-175,54	
470	940,	13775	-175,56	
471	942,	13689	-175,57	
