	Frequency [Hz]	Amplitude [m]	Phase Angle [°]	
172	344,	5,0565e-006	-0,1275	
173	346,	5,0163e-006	-0,23423	
174	348,	4,9773e-006	-0,34265	
175	350,	4,9392e-006	-0,45281	
176	352,	4,9022e-006	-0,56477	
177	354,	4,8662e-006	-0,67861	
178	356,	4,8311e-006	-0,79439	
179	358,	4,797e-006	-0,91219	
180	360,	4,7639e-006	-1,0321	
181	362,	4,7317e-006	-1,1541	
182	364,	4,7004e-006	-1,2785	
183	366,	4,67e-006	-1,4051	
184	368,	4,6405e-006	-1,5341	
185	370,	4,6118e-006	-1,6657	
186	372,	4,5841e-006	-1,7998	
187	374,	4,5571e-006	-1,9366	
188	376,	4,531e-006	-2,0762	
189	378,	4,5058e-006	-2,2187	
190	380,	4,4813e-006	-2,3641	
191	382,	4,4577e-006	-2,5126	
192	384,	4,4348e-006	-2,6642	
193	386,	4,4128e-006	-2,8192	
194	388,	4,3915e-006	-2,9776	
195	390,	4,371e-006	-3,1395	
196	392,	4,3512e-006	-3,305	
197	394,	4,3323e-006	-3,4743	
198	396,	4,3141e-006	-3,6475	
199	398,	4,2966e-006	-3,8248	
200	400,	4,2799e-006	-4,0062	
201	402,	4,2639e-006	-4,192	
202	404,	4,2487e-006	-4,3823	
203	406,	4,2342e-006	-4,5772	
204	408,	4,2205e-006	-4,777	
205	410,	4,2074e-006	-4,9818	
206	412,	4,1952e-006	-5,1918	
207	414,	4,1836e-006	-5,4072	
208	416,	4,1728e-006	-5,6283	
209	418,	4,1627e-006	-5,8551	
210	420,	4,1533e-006	-6,088	
211	422,	4,1447e-006	-6,3272	
212	424,	4,1368e-006	-6,5728	
213	426,	4,1296e-006	-6,8253	
214	428,	4,1232e-006	-7,0848	
215	430,	4,1175e-006	-7,3516	
216	432,	4,1126e-006	-7,626	
217	434,	4,1084e-006	-7,9082	
218	436,	4,1049e-006	-8,1987	
219	438,	4,1022e-006	-8,4977	
220	440,	4,1002e-006	-8,8056	
221	442,	4,099e-006	-9,1227	
222	444,	4,0986e-006	-9,4494	
223	446,	4,0989e-006	-9,7861	
224	448,	4,1e-006	-10,133	
225	450,	4,1019e-006	-10,491	
226	452,	4,1045e-006	-10,86	
227	454,	4,108e-006	-11,241	
228	456,	4,1122e-006	-11,634	
229	458,	4,1173e-006	-12,04	
230	460,	4,1231e-006	-12,459	
231	462,	4,1297e-006	-12,892	
232	464,	4,1372e-006	-13,34	
233	466,	4,1454e-006	-13,802	
234	468,	4,1545e-006	-14,28	
235	470,	4,1644e-006	-14,775	
236	472,	4,1751e-006	-15,286	
237	474,	4,1866e-006	-15,816	
238	476,	4,199e-006	-16,364	
239	478,	4,2122e-006	-16,931	
240	480,	4,2261e-006	-17,519	
241	482,	4,2409e-006	-18,128	
242	484,	4,2564e-006	-18,758	
243	486,	4,2728e-006	-19,412	
244	488,	4,2899e-006	-20,09	
245	490,	4,3077e-006	-20,793	
246	492,	4,3262e-006	-21,522	
247	494,	4,3454e-006	-22,278	
248	496,	4,3652e-006	-23,062	
249	498,	4,3857e-006	-23,876	
250	500,	4,4066e-006	-24,721	
251	502,	4,4281e-006	-25,598	
252	504,	4,4499e-006	-26,508	
